,Accuracy,Classifier,Feature Set
0,0.7115384615384616,SVC,All Features All Timepoints
1,0.7060439560439561,SVC,All Features All Timepoints
2,0.6923076923076923,SVC,All Features All Timepoints
3,0.6153846153846154,SVC,All Features All Timepoints
4,0.8076923076923077,SVC,All Features All Timepoints
5,0.7692307692307692,SVC,All Features All Timepoints
6,0.9285714285714286,SVC,All Features All Timepoints
7,0.8328571428571429,SVC,All Features All Timepoints
8,0.7214285714285715,SVC,All Features All Timepoints
9,0.7971428571428572,SVC,All Features All Timepoints
10,0.7087912087912087,RF,All Features All Timepoints
11,0.7087912087912087,RF,All Features All Timepoints
12,0.6730769230769231,RF,All Features All Timepoints
13,0.6346153846153846,RF,All Features All Timepoints
14,0.75,RF,All Features All Timepoints
15,0.8461538461538463,RF,All Features All Timepoints
16,0.8928571428571428,RF,All Features All Timepoints
17,0.6857142857142857,RF,All Features All Timepoints
18,0.6457142857142857,RF,All Features All Timepoints
19,0.7771428571428571,RF,All Features All Timepoints
20,0.40934065934065933,LDA,All Features All Timepoints
21,0.3516483516483516,LDA,All Features All Timepoints
22,0.5961538461538461,LDA,All Features All Timepoints
23,0.6153846153846154,LDA,All Features All Timepoints
24,0.5576923076923077,LDA,All Features All Timepoints
25,0.5769230769230769,LDA,All Features All Timepoints
26,0.4857142857142857,LDA,All Features All Timepoints
27,0.53,LDA,All Features All Timepoints
28,0.6657142857142857,LDA,All Features All Timepoints
29,0.55,LDA,All Features All Timepoints
30,0.7472527472527473,XG Boost,All Features All Timepoints
31,0.728021978021978,XG Boost,All Features All Timepoints
32,0.6153846153846154,XG Boost,All Features All Timepoints
33,0.7115384615384615,XG Boost,All Features All Timepoints
34,0.8076923076923077,XG Boost,All Features All Timepoints
35,0.8461538461538463,XG Boost,All Features All Timepoints
36,0.8528571428571429,XG Boost,All Features All Timepoints
37,0.6699999999999999,XG Boost,All Features All Timepoints
38,0.7971428571428572,XG Boost,All Features All Timepoints
39,0.7571428571428571,XG Boost,All Features All Timepoints
40,0.6758241758241759,SVC,All Features 96h
41,0.6730769230769231,SVC,All Features 96h
42,0.6153846153846154,SVC,All Features 96h
43,0.6153846153846154,SVC,All Features 96h
44,0.6538461538461539,SVC,All Features 96h
45,0.8076923076923077,SVC,All Features 96h
46,0.9615384615384616,SVC,All Features 96h
47,0.7971428571428572,SVC,All Features 96h
48,0.7014285714285715,SVC,All Features 96h
49,0.8128571428571428,SVC,All Features 96h
50,0.6538461538461539,RF,All Features 96h
51,0.6895604395604396,RF,All Features 96h
52,0.6153846153846154,RF,All Features 96h
53,0.6538461538461539,RF,All Features 96h
54,0.7692307692307692,RF,All Features 96h
55,0.8076923076923077,RF,All Features 96h
56,0.8653846153846154,RF,All Features 96h
57,0.6657142857142857,RF,All Features 96h
58,0.6857142857142857,RF,All Features 96h
59,0.7928571428571429,RF,All Features 96h
60,0.651098901098901,LDA,All Features 96h
61,0.6565934065934066,LDA,All Features 96h
62,0.521978021978022,LDA,All Features 96h
63,0.6730769230769231,LDA,All Features 96h
64,0.5961538461538461,LDA,All Features 96h
65,0.7884615384615385,LDA,All Features 96h
66,0.6153846153846154,LDA,All Features 96h
67,0.7528571428571429,LDA,All Features 96h
68,0.6257142857142857,LDA,All Features 96h
69,0.7928571428571429,LDA,All Features 96h
70,0.6758241758241759,XG Boost,All Features 96h
71,0.728021978021978,XG Boost,All Features 96h
72,0.6153846153846154,XG Boost,All Features 96h
73,0.7115384615384616,XG Boost,All Features 96h
74,0.7307692307692308,XG Boost,All Features 96h
75,0.8076923076923077,XG Boost,All Features 96h
76,0.8461538461538463,XG Boost,All Features 96h
77,0.7257142857142858,XG Boost,All Features 96h
78,0.6857142857142857,XG Boost,All Features 96h
79,0.7571428571428571,XG Boost,All Features 96h
80,0.728021978021978,SVC,Manually Selected Features 96h
81,0.7802197802197802,SVC,Manually Selected Features 96h
82,0.6895604395604396,SVC,Manually Selected Features 96h
83,0.6538461538461539,SVC,Manually Selected Features 96h
84,0.8269230769230769,SVC,Manually Selected Features 96h
85,0.8461538461538461,SVC,Manually Selected Features 96h
86,0.9423076923076923,SVC,Manually Selected Features 96h
87,0.7614285714285715,SVC,Manually Selected Features 96h
88,0.7371428571428571,SVC,Manually Selected Features 96h
89,0.8328571428571429,SVC,Manually Selected Features 96h
90,0.7664835164835164,RF,Manually Selected Features 96h
91,0.728021978021978,RF,Manually Selected Features 96h
92,0.6895604395604396,RF,Manually Selected Features 96h
93,0.6538461538461539,RF,Manually Selected Features 96h
94,0.8269230769230769,RF,Manually Selected Features 96h
95,0.75,RF,Manually Selected Features 96h
96,0.9230769230769231,RF,Manually Selected Features 96h
