,Accuracy,Classifier,Feature Set
0,0.7692307692307692,SVC,72h All Features
1,0.4797570850202429,SVC,72h All Features
2,0.6260683760683761,SVC,72h All Features
3,0.5705128205128205,SVC,72h All Features
4,0.608974358974359,SVC,72h All Features
5,0.7799145299145299,SVC,72h All Features
6,0.608974358974359,SVC,72h All Features
7,0.8012820512820513,SVC,72h All Features
8,0.6196581196581197,SVC,72h All Features
9,0.5767543859649122,SVC,72h All Features
10,0.7692307692307692,RF,72h All Features
11,0.5080971659919028,RF,72h All Features
12,0.5811965811965812,RF,72h All Features
13,0.5982905982905983,RF,72h All Features
14,0.5811965811965812,RF,72h All Features
15,0.7905982905982906,RF,72h All Features
16,0.6196581196581197,RF,72h All Features
17,0.8504273504273505,RF,72h All Features
18,0.6858974358974359,RF,72h All Features
19,0.618421052631579,RF,72h All Features
20,0.5991902834008097,LDA,72h All Features
21,0.6234817813765182,LDA,72h All Features
22,0.5363247863247864,LDA,72h All Features
23,0.5149572649572649,LDA,72h All Features
24,0.6196581196581197,LDA,72h All Features
25,0.7072649572649572,LDA,72h All Features
26,0.40384615384615385,LDA,72h All Features
27,0.6517094017094017,LDA,72h All Features
28,0.4081196581196581,LDA,72h All Features
29,0.6864035087719298,LDA,72h All Features
30,0.7692307692307692,XG Boost,72h All Features
31,0.5850202429149798,XG Boost,72h All Features
32,0.5427350427350428,XG Boost,72h All Features
33,0.6367521367521367,XG Boost,72h All Features
34,0.5534188034188035,XG Boost,72h All Features
35,0.6196581196581197,XG Boost,72h All Features
36,0.532051282051282,XG Boost,72h All Features
37,0.6901709401709402,XG Boost,72h All Features
38,0.7136752136752136,XG Boost,72h All Features
39,0.5657894736842105,XG Boost,72h All Features
40,0.6275303643724697,SVC,72h Selected Featurs
41,0.5344129554655871,SVC,72h Selected Featurs
42,0.5811965811965812,SVC,72h Selected Featurs
43,0.5982905982905983,SVC,72h Selected Featurs
44,0.5982905982905983,SVC,72h Selected Featurs
45,0.7029914529914529,SVC,72h Selected Featurs
46,0.6474358974358975,SVC,72h Selected Featurs
47,0.8952991452991452,SVC,72h Selected Featurs
48,0.6752136752136753,SVC,72h Selected Featurs
