,PLSR Dim 1,PLSR Dim 2
048h-[Area]-BF,0.013634885766593854,0.10149194255112268
048h-[Aspect Ratio]-BF,0.03363372721451605,0.057222973368650926
048h-[Axis Major Length]-BF,0.026416054574035,0.10834639499823293
048h-[Axis Minor Length]-BF,-0.0028547146909696096,0.06992255684952739
048h-[Eccentricity]-BF,0.031000264078967586,0.057935828494111066
048h-[Feret Diameter Max]-BF,0.026730235098095162,0.1017600235403801
048h-[Perimeter]-BF,0.01621134720224414,0.09976687141550765
048h-[Solidity]-BF,-0.005472641226140382,0.021120688789733475
048h-[str Area]-BF,0.012667988219095948,0.09999356007987814
048h-[str Aspect Ratio]-BF,0.03322508142832196,0.049861859408203354
048h-[str Eccentricity]-BF,0.029920732860123245,0.051434053287856454
048h-[str Equivalent Diameter]-BF,0.012238370667687426,0.09974589262843633
048h-[str Extent]-BF,-0.01417102810108366,0.02430868067411158
048h-[str Form Factor]-BF,0.0066270328731427245,-0.002499138623637068
048h-[str Inertia Tensor 0 0]-BF,-0.00805118364864818,0.06294469026591526
048h-[str Inertia Tensor 0 1]-BF,0.002259076484356575,-0.012653958457689478
048h-[str Inertia Tensor 1 0]-BF,0.002259076484356575,-0.012653958457689478
048h-[str Inertia Tensor 1 1]-BF,0.028473724748597985,0.10218268186092191
048h-[str Inertia Tensor Eigvals 0]-BF,0.026148320879761024,0.10214580025864728
048h-[str Inertia Tensor Eigvals 1]-BF,-0.003517131066667027,0.07229811998153118
048h-[str LoCo EFA Coeff 0]-BF,0.0,0.0
048h-[str LoCo EFA Coeff 1]-BF,0.01275407573506601,0.09965164862962629
048h-[str LoCo EFA Coeff 10]-BF,0.010502601416480828,0.014844270622153011
048h-[str LoCo EFA Coeff 11]-BF,-0.0025921216998868895,0.0036974363396719656
048h-[str LoCo EFA Coeff 12]-BF,0.0013137713460764444,0.004042188225255148
048h-[str LoCo EFA Coeff 13]-BF,0.00713428448212037,0.014410672845097105
048h-[str LoCo EFA Coeff 14]-BF,-0.0014446357947964505,-0.013358417569659246
048h-[str LoCo EFA Coeff 15]-BF,0.0016157668846678058,0.014546839996479589
048h-[str LoCo EFA Coeff 16]-BF,-0.019259744273959455,-0.012962313475298672
048h-[str LoCo EFA Coeff 17]-BF,0.0034367918986211027,-0.007048356610209645
048h-[str LoCo EFA Coeff 18]-BF,-0.0007000458344810645,-0.023181202941876127
048h-[str LoCo EFA Coeff 19]-BF,-0.02088099113450447,0.007977292803619388
048h-[str LoCo EFA Coeff 2]-BF,0.03465936697431558,0.054715153048911065
048h-[str LoCo EFA Coeff 20]-BF,-0.01667562897867878,-0.0025886011645733058
048h-[str LoCo EFA Coeff 21]-BF,-0.0031474117927672023,-0.011076831718102184
048h-[str LoCo EFA Coeff 22]-BF,-0.004543985974913059,-0.004149422119970102
048h-[str LoCo EFA Coeff 23]-BF,0.0031020223267777224,-0.018364903771214483
048h-[str LoCo EFA Coeff 24]-BF,-0.003345994893594449,-0.0030596065392928095
048h-[str LoCo EFA Coeff 25]-BF,-0.008425514221524577,-0.025205876146762177
048h-[str LoCo EFA Coeff 26]-BF,0.00011375821550172938,0.02541910589272954
048h-[str LoCo EFA Coeff 27]-BF,0.0032424592713209796,0.020156580199065088
048h-[str LoCo EFA Coeff 28]-BF,-0.0022949986128350717,0.007036482644825758
048h-[str LoCo EFA Coeff 29]-BF,-0.005957281095809707,-0.011166853188285975
048h-[str LoCo EFA Coeff 3]-BF,0.010645059911648148,-0.0009076766299581548
