,PLSR Dim 1,PLSR Dim 2
048h-[Area]-BF,-0.010751883010785907,-0.17640453261846797
048h-[Aspect Ratio]-BF,-0.014170890637269699,0.01294418932400905
048h-[Axis Major Length]-BF,-0.015371767098480543,-0.14392207857456193
048h-[Axis Minor Length]-BF,-0.0038780032850408075,-0.1755731424931042
048h-[Eccentricity]-BF,-0.011767458392107915,0.015296079011871865
048h-[Feret Diameter Max]-BF,-0.016452672410722315,-0.1428147978897219
048h-[Perimeter]-BF,-0.011609939103922181,-0.17398768145395518
048h-[Solidity]-BF,0.0004872715118633145,-0.03155788221505982
048h-[str Area]-BF,-0.010123186272611199,-0.1754141927499421
048h-[str Aspect Ratio]-BF,-0.014255450498040124,0.011676251392415262
048h-[str Eccentricity]-BF,-0.011804610486984762,0.01274193767257385
048h-[str Equivalent Diameter]-BF,-0.010006232099739828,-0.17563982881697981
048h-[str Extent]-BF,0.01855803054860407,-0.02771501227511556
048h-[str Form Factor]-BF,0.0020469796521187583,0.03899450480472676
048h-[str Inertia Tensor 0 0]-BF,0.0013067791985334873,-0.17052494077764307
048h-[str Inertia Tensor 0 1]-BF,0.0005138893961249905,0.002355756207628061
048h-[str Inertia Tensor 1 0]-BF,0.0005138893961249905,0.002355756207628061
048h-[str Inertia Tensor 1 1]-BF,-0.018095396175931266,-0.13281959838830185
048h-[str Inertia Tensor Eigvals 0]-BF,-0.015254003931260819,-0.1441197756150914
048h-[str Inertia Tensor Eigvals 1]-BF,-0.003488869094359421,-0.17442718756525305
048h-[str LoCo EFA Coeff 0]-BF,0.0,0.0
048h-[str LoCo EFA Coeff 1]-BF,-0.010241963341751963,-0.17501433647736614
048h-[str LoCo EFA Coeff 10]-BF,-0.012591370585567203,-0.005023071985587444
048h-[str LoCo EFA Coeff 11]-BF,-4.3311484907974e-05,-0.03388099005393243
048h-[str LoCo EFA Coeff 12]-BF,-0.004476675330120911,-0.0118829739791162
048h-[str LoCo EFA Coeff 13]-BF,-0.0015692152763670266,-9.082177583369173e-05
048h-[str LoCo EFA Coeff 14]-BF,-4.138446453360083e-05,0.0077425585113226605
048h-[str LoCo EFA Coeff 15]-BF,0.0002100028965019248,0.007707516207532099
048h-[str LoCo EFA Coeff 16]-BF,0.019760452163831335,0.0029416741503633594
048h-[str LoCo EFA Coeff 17]-BF,-0.00027243712826239484,-0.007797648678039404
048h-[str LoCo EFA Coeff 18]-BF,-0.0027045275743052682,0.009198677451498135
048h-[str LoCo EFA Coeff 19]-BF,0.020720379940986813,0.020657576016988984
048h-[str LoCo EFA Coeff 2]-BF,-0.015318465251824629,0.0009155071697330673
048h-[str LoCo EFA Coeff 20]-BF,0.011964522288548505,0.018775968661833037
048h-[str LoCo EFA Coeff 21]-BF,0.00278475975229569,-0.0011738895340944705
048h-[str LoCo EFA Coeff 22]-BF,0.01303648086144866,0.030357160888776203
048h-[str LoCo EFA Coeff 23]-BF,-0.00707567581970209,-0.005020318312648284
048h-[str LoCo EFA Coeff 24]-BF,0.005361265162112559,-0.005420446596647342
048h-[str LoCo EFA Coeff 25]-BF,0.005757059913222923,0.019800265588706897
048h-[str LoCo EFA Coeff 26]-BF,0.0026440991004590512,0.008146603864241295
048h-[str LoCo EFA Coeff 27]-BF,-0.003978612167062731,-0.006639276547347574
048h-[str LoCo EFA Coeff 28]-BF,0.007536207948923658,0.007175114071265007
048h-[str LoCo EFA Coeff 29]-BF,0.006813625985789298,-0.005086434322981257
048h-[str LoCo EFA Coeff 3]-BF,-0.004354783096756401,-0.001775142069204401
048h-[str LoCo EFA Coeff 30]-BF,0.008923582270582079,-0.017011540305055417
048h-[str LoCo EFA Coeff 31]-BF,0.008396155972208663,0.021617468399200958
048h-[str LoCo EFA Coeff 32]-BF,-0.003950928968747949,0.025161394968017912
048h-[str LoCo EFA Coeff 33]-BF,-0.0017139849980328582,0.0009074822865082929
048h-[str LoCo EFA Coeff 34]-BF,-0.00624399839000525,0.011862860626059268
048h-[str LoCo EFA Coeff 35]-BF,-0.001785846680952264,0.013486955912724561
048h-[str LoCo EFA Coeff 36]-BF,0.010401338743677099,0.028295111567072945
048h-[str LoCo EFA Coeff 37]-BF,0.02226784888230229,0.0014347077927832049
048h-[str LoCo EFA Coeff 38]-BF,0.01910875752311763,0.02632420651815412
048h-[str LoCo EFA Coeff 39]-BF,0.010166968296990486,0.01413887013280764
048h-[str LoCo EFA Coeff 4]-BF,-0.01737590326899207,-0.025310284662148436
048h-[str LoCo EFA Coeff 40]-BF,0.004836328578052914,0.010742218410160551
048h-[str LoCo EFA Coeff 41]-BF,0.009543534155598922,0.0045438174373900785
048h-[str LoCo EFA Coeff 42]-BF,-0.002508464186843387,0.010267567898096417
048h-[str LoCo EFA Coeff 43]-BF,-0.00733640488219352,0.02452309589056756
048h-[str LoCo EFA Coeff 44]-BF,0.002509667946219326,0.00855863515339972
048h-[str LoCo EFA Coeff 45]-BF,0.012596963508332447,0.014354433327165463
048h-[str LoCo EFA Coeff 46]-BF,0.003039457092033037,0.015655926683655234
048h-[str LoCo EFA Coeff 47]-BF,0.003708727440221833,-0.005918762765732854
048h-[str LoCo EFA Coeff 48]-BF,0.007585573090742906,-0.0034454296412461368
048h-[str LoCo EFA Coeff 49]-BF,-0.0009904642185803527,0.005729060921775921
048h-[str LoCo EFA Coeff 5]-BF,-0.027045871247951117,-0.01684252248448566
048h-[str LoCo EFA Coeff 50]-BF,0.014593438767482723,0.020088008527120033
048h-[str LoCo EFA Coeff 51]-BF,0.0,0.0
048h-[str LoCo EFA Coeff 6]-BF,0.0009857792744428697,-0.014917860053707405
048h-[str LoCo EFA Coeff 7]-BF,-0.01912262133478407,-0.01960553242462955
