,Accuracy,Classifier,Feature Set
0,0.4340659340659341,SVC,48-72h_bf
1,0.5659340659340659,SVC,48-72h_bf
2,0.5,SVC,48-72h_bf
3,0.42307692307692313,SVC,48-72h_bf
4,0.5192307692307692,SVC,48-72h_bf
5,0.5,SVC,48-72h_bf
6,0.6457142857142857,SVC,48-72h_bf
7,0.5071428571428571,SVC,48-72h_bf
8,0.5585714285714286,SVC,48-72h_bf
9,0.44285714285714284,SVC,48-72h_bf
10,0.4423076923076923,RF,48-72h_bf
11,0.5027472527472527,RF,48-72h_bf
12,0.46153846153846156,RF,48-72h_bf
13,0.46153846153846156,RF,48-72h_bf
14,0.5192307692307693,RF,48-72h_bf
15,0.5384615384615384,RF,48-72h_bf
16,0.5585714285714286,RF,48-72h_bf
17,0.5428571428571429,RF,48-72h_bf
18,0.5871428571428571,RF,48-72h_bf
19,0.6028571428571429,RF,48-72h_bf
20,0.4340659340659341,LDA,48-72h_bf
21,0.44780219780219777,LDA,48-72h_bf
22,0.4423076923076923,LDA,48-72h_bf
23,0.4807692307692307,LDA,48-72h_bf
24,0.42307692307692313,LDA,48-72h_bf
25,0.46153846153846156,LDA,48-72h_bf
26,0.6542857142857142,LDA,48-72h_bf
27,0.4514285714285714,LDA,48-72h_bf
28,0.5385714285714286,LDA,48-72h_bf
29,0.5985714285714285,LDA,48-72h_bf
30,0.5137362637362637,XG Boost,48-72h_bf
31,0.4560439560439561,XG Boost,48-72h_bf
32,0.46153846153846156,XG Boost,48-72h_bf
33,0.5192307692307692,XG Boost,48-72h_bf
34,0.5384615384615385,XG Boost,48-72h_bf
35,0.5384615384615384,XG Boost,48-72h_bf
36,0.48,XG Boost,48-72h_bf
37,0.5314285714285715,XG Boost,48-72h_bf
38,0.5357142857142857,XG Boost,48-72h_bf
39,0.5357142857142857,XG Boost,48-72h_bf
40,0.6016483516483516,SVC,48-72h_bra
41,0.5824175824175825,SVC,48-72h_bra
42,0.49725274725274726,SVC,48-72h_bra
43,0.5384615384615384,SVC,48-72h_bra
44,0.6346153846153846,SVC,48-72h_bra
45,0.5961538461538461,SVC,48-72h_bra
46,0.6153846153846154,SVC,48-72h_bra
47,0.6071428571428571,SVC,48-72h_bra
48,0.5900000000000001,SVC,48-72h_bra
49,0.6742857142857143,SVC,48-72h_bra
50,0.6043956043956045,RF,48-72h_bra
51,0.47527472527472525,RF,48-72h_bra
52,0.5659340659340659,RF,48-72h_bra
53,0.6346153846153846,RF,48-72h_bra
54,0.6153846153846154,RF,48-72h_bra
55,0.6153846153846154,RF,48-72h_bra
56,0.5769230769230769,RF,48-72h_bra
57,0.61,RF,48-72h_bra
58,0.5828571428571429,RF,48-72h_bra
59,0.6142857142857143,RF,48-72h_bra
60,0.5851648351648351,LDA,48-72h_bra
61,0.510989010989011,LDA,48-72h_bra
62,0.47527472527472525,LDA,48-72h_bra
63,0.5192307692307692,LDA,48-72h_bra
64,0.6538461538461539,LDA,48-72h_bra
65,0.6538461538461539,LDA,48-72h_bra
66,0.5576923076923077,LDA,48-72h_bra
67,0.5828571428571429,LDA,48-72h_bra
68,0.5542857142857143,LDA,48-72h_bra
69,0.6228571428571428,LDA,48-72h_bra
70,0.5714285714285714,XG Boost,48-72h_bra
71,0.5659340659340659,XG Boost,48-72h_bra
72,0.45879120879120877,XG Boost,48-72h_bra
73,0.5384615384615384,XG Boost,48-72h_bra
74,0.6153846153846154,XG Boost,48-72h_bra
75,0.7115384615384616,XG Boost,48-72h_bra
76,0.5,XG Boost,48-72h_bra
77,0.5714285714285714,XG Boost,48-72h_bra
78,0.5828571428571429,XG Boost,48-72h_bra
79,0.6785714285714286,XG Boost,48-72h_bra
80,0.4807692307692308,SVC,48-72h_both
81,0.532967032967033,SVC,48-72h_both
82,0.4230769230769231,SVC,48-72h_both
83,0.5576923076923077,SVC,48-72h_both
84,0.4807692307692307,SVC,48-72h_both
85,0.6730769230769231,SVC,48-72h_both
86,0.5357142857142857,SVC,48-72h_both
87,0.5357142857142857,SVC,48-72h_both
88,0.5514285714285714,SVC,48-72h_both
89,0.5357142857142857,SVC,48-72h_both
90,0.6236263736263736,RF,48-72h_both
91,0.6043956043956045,RF,48-72h_both
92,0.5,RF,48-72h_both
93,0.5961538461538461,RF,48-72h_both
94,0.5576923076923077,RF,48-72h_both
95,0.6346153846153846,RF,48-72h_both
96,0.5514285714285714,RF,48-72h_both
97,0.5714285714285714,RF,48-72h_both
98,0.5514285714285714,RF,48-72h_both
99,0.6028571428571429,RF,48-72h_both
100,0.5027472527472527,LDA,48-72h_both
101,0.5384615384615384,LDA,48-72h_both
102,0.4423076923076923,LDA,48-72h_both
103,0.5,LDA,48-72h_both
104,0.5576923076923077,LDA,48-72h_both
105,0.5961538461538461,LDA,48-72h_both
106,0.7571428571428571,LDA,48-72h_both
107,0.48714285714285716,LDA,48-72h_both
108,0.47857142857142854,LDA,48-72h_both
109,0.65,LDA,48-72h_both
110,0.7115384615384616,XG Boost,48-72h_both
111,0.478021978021978,XG Boost,48-72h_both
112,0.46153846153846156,XG Boost,48-72h_both
113,0.5961538461538461,XG Boost,48-72h_both
114,0.6923076923076923,XG Boost,48-72h_both
115,0.5961538461538461,XG Boost,48-72h_both
116,0.5514285714285714,XG Boost,48-72h_both
117,0.6228571428571428,XG Boost,48-72h_both
118,0.5671428571428572,XG Boost,48-72h_both
119,0.5871428571428571,XG Boost,48-72h_both
120,0.6373626373626373,SVC,96h_bf
121,0.6923076923076923,SVC,96h_bf
122,0.6016483516483516,SVC,96h_bf
123,0.5384615384615385,SVC,96h_bf
124,0.5192307692307692,SVC,96h_bf
125,0.7692307692307693,SVC,96h_bf
126,0.6923076923076923,SVC,96h_bf
127,0.6142857142857143,SVC,96h_bf
128,0.6814285714285715,SVC,96h_bf
129,0.6699999999999999,SVC,96h_bf
130,0.6181318681318682,RF,96h_bf
131,0.7252747252747254,RF,96h_bf
132,0.6703296703296704,RF,96h_bf
133,0.576923076923077,RF,96h_bf
134,0.6730769230769231,RF,96h_bf
135,0.8846153846153846,RF,96h_bf
136,0.8461538461538461,RF,96h_bf
137,0.7771428571428571,RF,96h_bf
138,0.6571428571428571,RF,96h_bf
139,0.6657142857142857,RF,96h_bf
140,0.6208791208791209,LDA,96h_bf
141,0.5274725274725275,LDA,96h_bf
142,0.5934065934065934,LDA,96h_bf
143,0.5961538461538461,LDA,96h_bf
144,0.5192307692307692,LDA,96h_bf
145,0.6730769230769231,LDA,96h_bf
146,0.6538461538461539,LDA,96h_bf
147,0.6142857142857143,LDA,96h_bf
148,0.5657142857142857,LDA,96h_bf
149,0.65,LDA,96h_bf
150,0.7032967032967032,XG Boost,96h_bf
151,0.6703296703296704,XG Boost,96h_bf
152,0.5989010989010989,XG Boost,96h_bf
153,0.6153846153846154,XG Boost,96h_bf
154,0.75,XG Boost,96h_bf
155,0.8269230769230769,XG Boost,96h_bf
156,0.6923076923076923,XG Boost,96h_bf
157,0.5942857142857143,XG Boost,96h_bf
158,0.7485714285714286,XG Boost,96h_bf
159,0.5742857142857143,XG Boost,96h_bf
160,0.7472527472527473,SVC,96h_bra
161,0.6730769230769231,SVC,96h_bra
162,0.6538461538461539,SVC,96h_bra
163,0.5961538461538461,SVC,96h_bra
164,0.75,SVC,96h_bra
165,0.8653846153846154,SVC,96h_bra
166,0.9230769230769231,SVC,96h_bra
167,0.7214285714285715,SVC,96h_bra
168,0.6657142857142857,SVC,96h_bra
169,0.7971428571428572,SVC,96h_bra
170,0.7307692307692308,RF,96h_bra
171,0.7307692307692308,RF,96h_bra
172,0.6538461538461539,RF,96h_bra
173,0.6730769230769231,RF,96h_bra
174,0.6730769230769231,RF,96h_bra
175,0.8269230769230769,RF,96h_bra
176,0.9230769230769231,RF,96h_bra
177,0.6699999999999999,RF,96h_bra
178,0.7371428571428571,RF,96h_bra
179,0.8328571428571429,RF,96h_bra
180,0.5604395604395604,LDA,96h_bra
181,0.6126373626373627,LDA,96h_bra
182,0.6098901098901099,LDA,96h_bra
183,0.6538461538461539,LDA,96h_bra
184,0.75,LDA,96h_bra
185,0.6730769230769231,LDA,96h_bra
186,0.7307692307692308,LDA,96h_bra
187,0.6057142857142856,LDA,96h_bra
188,0.6814285714285715,LDA,96h_bra
189,0.7885714285714285,LDA,96h_bra
190,0.7115384615384616,XG Boost,96h_bra
191,0.728021978021978,XG Boost,96h_bra
192,0.6346153846153846,XG Boost,96h_bra
193,0.6730769230769231,XG Boost,96h_bra
194,0.6730769230769231,XG Boost,96h_bra
195,0.6730769230769231,XG Boost,96h_bra
196,0.9615384615384616,XG Boost,96h_bra
197,0.6585714285714286,XG Boost,96h_bra
198,0.6342857142857142,XG Boost,96h_bra
199,0.7414285714285714,XG Boost,96h_bra
200,0.6758241758241759,SVC,96h_both
201,0.7445054945054945,SVC,96h_both
202,0.6895604395604396,SVC,96h_both
203,0.6153846153846154,SVC,96h_both
204,0.7884615384615384,SVC,96h_both
205,0.8076923076923077,SVC,96h_both
206,0.9615384615384616,SVC,96h_both
207,0.7614285714285715,SVC,96h_both
208,0.7014285714285715,SVC,96h_both
209,0.8128571428571428,SVC,96h_both
210,0.7664835164835164,RF,96h_both
211,0.7087912087912087,RF,96h_both
212,0.6346153846153846,RF,96h_both
213,0.6923076923076923,RF,96h_both
214,0.75,RF,96h_both
215,0.8076923076923077,RF,96h_both
216,0.8846153846153846,RF,96h_both
217,0.7614285714285715,RF,96h_both
218,0.7571428571428571,RF,96h_both
219,0.7414285714285714,RF,96h_both
220,0.5961538461538461,LDA,96h_both
221,0.6373626373626373,LDA,96h_both
222,0.5027472527472527,LDA,96h_both
223,0.6538461538461539,LDA,96h_both
224,0.576923076923077,LDA,96h_both
225,0.7884615384615384,LDA,96h_both
226,0.6538461538461539,LDA,96h_both
227,0.7328571428571429,LDA,96h_both
228,0.6657142857142857,LDA,96h_both
229,0.7571428571428571,LDA,96h_both
230,0.6401098901098902,XG Boost,96h_both
231,0.6923076923076923,XG Boost,96h_both
232,0.6153846153846154,XG Boost,96h_both
233,0.7115384615384616,XG Boost,96h_both
234,0.8076923076923077,XG Boost,96h_both
235,0.8269230769230769,XG Boost,96h_both
236,0.8461538461538463,XG Boost,96h_both
237,0.6699999999999999,XG Boost,96h_both
238,0.6857142857142857,XG Boost,96h_both
239,0.7571428571428571,XG Boost,96h_both
240,0.6373626373626373,SVC,alltp_bf
241,0.7774725274725275,SVC,alltp_bf
242,0.6346153846153846,SVC,alltp_bf
243,0.5384615384615384,SVC,alltp_bf
244,0.5384615384615384,SVC,alltp_bf
245,0.7692307692307692,SVC,alltp_bf
246,0.7857142857142857,SVC,alltp_bf
247,0.6542857142857142,SVC,alltp_bf
248,0.7214285714285715,SVC,alltp_bf
249,0.7014285714285715,SVC,alltp_bf
250,0.6181318681318682,RF,alltp_bf
251,0.6346153846153846,RF,alltp_bf
252,0.6346153846153846,RF,alltp_bf
253,0.5961538461538461,RF,alltp_bf
254,0.6153846153846154,RF,alltp_bf
255,0.8269230769230769,RF,alltp_bf
256,0.8214285714285714,RF,alltp_bf
257,0.71,RF,alltp_bf
258,0.7571428571428571,RF,alltp_bf
259,0.6657142857142857,RF,alltp_bf
260,0.521978021978022,LDA,alltp_bf
261,0.5192307692307692,LDA,alltp_bf
262,0.6153846153846154,LDA,alltp_bf
263,0.4230769230769231,LDA,alltp_bf
264,0.5961538461538461,LDA,alltp_bf
265,0.5576923076923077,LDA,alltp_bf
266,0.6057142857142856,LDA,alltp_bf
267,0.4828571428571429,LDA,alltp_bf
268,0.6928571428571428,LDA,alltp_bf
269,0.6257142857142857,LDA,alltp_bf
270,0.651098901098901,XG Boost,alltp_bf
271,0.651098901098901,XG Boost,alltp_bf
272,0.6538461538461539,XG Boost,alltp_bf
273,0.6923076923076923,XG Boost,alltp_bf
274,0.6346153846153846,XG Boost,alltp_bf
275,0.8076923076923077,XG Boost,alltp_bf
276,0.73,XG Boost,alltp_bf
277,0.63,XG Boost,alltp_bf
278,0.7328571428571429,XG Boost,alltp_bf
279,0.6814285714285715,XG Boost,alltp_bf
280,0.7472527472527473,SVC,alltp_bra
281,0.6373626373626373,SVC,alltp_bra
282,0.4945054945054945,SVC,alltp_bra
283,0.576923076923077,SVC,alltp_bra
284,0.8269230769230769,SVC,alltp_bra
285,0.7884615384615384,SVC,alltp_bra
286,0.9230769230769231,SVC,alltp_bra
287,0.7457142857142858,SVC,alltp_bra
288,0.7014285714285715,SVC,alltp_bra
289,0.7457142857142858,SVC,alltp_bra
290,0.7307692307692308,RF,alltp_bra
291,0.6758241758241759,RF,alltp_bra
292,0.7115384615384616,RF,alltp_bra
293,0.6346153846153846,RF,alltp_bra
294,0.6346153846153846,RF,alltp_bra
295,0.8653846153846154,RF,alltp_bra
296,0.9038461538461539,RF,alltp_bra
297,0.7457142857142858,RF,alltp_bra
298,0.7371428571428571,RF,alltp_bra
299,0.8171428571428572,RF,alltp_bra
300,0.5384615384615384,LDA,alltp_bra
301,0.6675824175824177,LDA,alltp_bra
302,0.5412087912087912,LDA,alltp_bra
303,0.6153846153846154,LDA,alltp_bra
304,0.7307692307692308,LDA,alltp_bra
305,0.7307692307692308,LDA,alltp_bra
306,0.6923076923076923,LDA,alltp_bra
307,0.7328571428571429,LDA,alltp_bra
308,0.63,LDA,alltp_bra
309,0.8128571428571428,LDA,alltp_bra
310,0.6730769230769231,XG Boost,alltp_bra
311,0.5824175824175825,XG Boost,alltp_bra
312,0.6730769230769231,XG Boost,alltp_bra
313,0.6346153846153846,XG Boost,alltp_bra
314,0.7115384615384615,XG Boost,alltp_bra
315,0.8076923076923077,XG Boost,alltp_bra
316,0.8653846153846154,XG Boost,alltp_bra
317,0.6942857142857143,XG Boost,alltp_bra
318,0.7214285714285715,XG Boost,alltp_bra
319,0.7814285714285715,XG Boost,alltp_bra
320,0.7115384615384616,SVC,alltp_both
321,0.7060439560439561,SVC,alltp_both
322,0.6346153846153846,SVC,alltp_both
323,0.5,SVC,alltp_both
324,0.6730769230769231,SVC,alltp_both
325,0.7692307692307692,SVC,alltp_both
326,0.8928571428571428,SVC,alltp_both
327,0.7214285714285715,SVC,alltp_both
