,Accuracy,Classifier,Feature Set
0,0.6275303643724697,SVC,48-72h_bf
1,0.532051282051282,SVC,48-72h_bf
2,0.5384615384615384,SVC,48-72h_bf
3,0.6367521367521367,SVC,48-72h_bf
4,0.5106837606837606,SVC,48-72h_bf
5,0.5705128205128205,SVC,48-72h_bf
6,0.5042735042735043,SVC,48-72h_bf
7,0.5876068376068376,SVC,48-72h_bf
8,0.41885964912280704,SVC,48-72h_bf
9,0.48903508771929827,SVC,48-72h_bf
10,0.5101214574898786,RF,48-72h_bf
11,0.6645299145299145,RF,48-72h_bf
12,0.5876068376068376,RF,48-72h_bf
13,0.5705128205128205,RF,48-72h_bf
14,0.5876068376068376,RF,48-72h_bf
15,0.6688034188034189,RF,48-72h_bf
16,0.5213675213675213,RF,48-72h_bf
17,0.49786324786324787,RF,48-72h_bf
18,0.5087719298245614,RF,48-72h_bf
19,0.48903508771929827,RF,48-72h_bf
20,0.5202429149797572,LDA,48-72h_bf
21,0.4423076923076923,LDA,48-72h_bf
22,0.5576923076923077,LDA,48-72h_bf
23,0.6132478632478633,LDA,48-72h_bf
24,0.5811965811965812,LDA,48-72h_bf
25,0.5961538461538461,LDA,48-72h_bf
26,0.6025641025641025,LDA,48-72h_bf
27,0.5192307692307692,LDA,48-72h_bf
28,0.28289473684210525,LDA,48-72h_bf
29,0.6600877192982456,LDA,48-72h_bf
30,0.5344129554655871,XG Boost,48-72h_bf
31,0.6474358974358975,XG Boost,48-72h_bf
32,0.5598290598290598,XG Boost,48-72h_bf
33,0.5982905982905983,XG Boost,48-72h_bf
34,0.5598290598290598,XG Boost,48-72h_bf
35,0.5192307692307692,XG Boost,48-72h_bf
36,0.5598290598290598,XG Boost,48-72h_bf
37,0.48717948717948717,XG Boost,48-72h_bf
38,0.5197368421052632,XG Boost,48-72h_bf
39,0.5043859649122807,XG Boost,48-72h_bf
40,0.6255060728744939,SVC,48-72h_bra
41,0.5323886639676113,SVC,48-72h_bra
42,0.5042735042735043,SVC,48-72h_bra
43,0.5042735042735043,SVC,48-72h_bra
44,0.7136752136752136,SVC,48-72h_bra
45,0.6752136752136753,SVC,48-72h_bra
46,0.5384615384615384,SVC,48-72h_bra
47,0.7628205128205128,SVC,48-72h_bra
48,0.5363247863247864,SVC,48-72h_bra
49,0.5964912280701754,SVC,48-72h_bra
50,0.6396761133603239,RF,48-72h_bra
51,0.4959514170040486,RF,48-72h_bra
52,0.5534188034188035,RF,48-72h_bra
53,0.5876068376068376,RF,48-72h_bra
54,0.5811965811965812,RF,48-72h_bra
55,0.5982905982905983,RF,48-72h_bra
56,0.7414529914529915,RF,48-72h_bra
57,0.7905982905982906,RF,48-72h_bra
58,0.6858974358974359,RF,48-72h_bra
59,0.618421052631579,RF,48-72h_bra
60,0.5748987854251012,LDA,48-72h_bra
61,0.5465587044534412,LDA,48-72h_bra
62,0.48717948717948717,LDA,48-72h_bra
63,0.5811965811965812,LDA,48-72h_bra
64,0.6367521367521367,LDA,48-72h_bra
65,0.6474358974358975,LDA,48-72h_bra
66,0.5918803418803419,LDA,48-72h_bra
67,0.7905982905982906,LDA,48-72h_bra
68,0.5641025641025641,LDA,48-72h_bra
69,0.6337719298245614,LDA,48-72h_bra
70,0.6012145748987854,XG Boost,48-72h_bra
71,0.5344129554655871,XG Boost,48-72h_bra
72,0.48717948717948717,XG Boost,48-72h_bra
73,0.532051282051282,XG Boost,48-72h_bra
74,0.608974358974359,XG Boost,48-72h_bra
75,0.5982905982905983,XG Boost,48-72h_bra
76,0.7029914529914529,XG Boost,48-72h_bra
77,0.8952991452991452,XG Boost,48-72h_bra
78,0.6752136752136753,XG Boost,48-72h_bra
79,0.513157894736842,XG Boost,48-72h_bra
80,0.8076923076923077,SVC,48-72h_both
81,0.5363247863247864,SVC,48-72h_both
82,0.6645299145299145,SVC,48-72h_both
83,0.5811965811965812,SVC,48-72h_both
84,0.6367521367521367,SVC,48-72h_both
85,0.7414529914529915,SVC,48-72h_both
86,0.6474358974358975,SVC,48-72h_both
87,0.8952991452991452,SVC,48-72h_both
88,0.6600877192982456,SVC,48-72h_both
89,0.6293859649122807,SVC,48-72h_both
90,0.8076923076923077,RF,48-72h_both
91,0.5363247863247864,RF,48-72h_both
92,0.6474358974358975,RF,48-72h_both
93,0.5705128205128205,RF,48-72h_both
94,0.6752136752136753,RF,48-72h_both
95,0.7243589743589745,RF,48-72h_both
96,0.6645299145299145,RF,48-72h_both
97,0.8888888888888888,RF,48-72h_both
98,0.6447368421052632,RF,48-72h_both
99,0.5767543859649122,RF,48-72h_both
100,0.6214574898785425,LDA,48-72h_both
101,0.4807692307692308,LDA,48-72h_both
102,0.3482905982905983,LDA,48-72h_both
103,0.5641025641025641,LDA,48-72h_both
104,0.5811965811965812,LDA,48-72h_both
105,0.641025641025641,LDA,48-72h_both
106,0.5683760683760684,LDA,48-72h_both
107,0.6239316239316239,LDA,48-72h_both
108,0.3355263157894737,LDA,48-72h_both
109,0.5921052631578947,LDA,48-72h_both
110,0.7044534412955465,XG Boost,48-72h_both
111,0.5363247863247864,XG Boost,48-72h_both
112,0.5534188034188035,XG Boost,48-72h_both
113,0.6367521367521367,XG Boost,48-72h_both
114,0.6367521367521367,XG Boost,48-72h_both
115,0.6474358974358975,XG Boost,48-72h_both
116,0.6260683760683761,XG Boost,48-72h_both
117,0.811965811965812,XG Boost,48-72h_both
118,0.6710526315789473,XG Boost,48-72h_both
119,0.5394736842105263,XG Boost,48-72h_both
120,0.6275303643724697,SVC,96h_bf
121,0.6012145748987854,SVC,96h_bf
122,0.532051282051282,SVC,96h_bf
123,0.5491452991452992,SVC,96h_bf
124,0.5705128205128205,SVC,96h_bf
125,0.608974358974359,SVC,96h_bf
126,0.5811965811965812,SVC,96h_bf
127,0.6367521367521367,SVC,96h_bf
128,0.5384615384615384,SVC,96h_bf
129,0.587719298245614,SVC,96h_bf
130,0.6396761133603239,RF,96h_bf
131,0.6902834008097165,RF,96h_bf
132,0.5811965811965812,RF,96h_bf
133,0.5149572649572649,RF,96h_bf
134,0.608974358974359,RF,96h_bf
135,0.5811965811965812,RF,96h_bf
136,0.6858974358974359,RF,96h_bf
137,0.6965811965811965,RF,96h_bf
138,0.5705128205128205,RF,96h_bf
139,0.618421052631579,RF,96h_bf
