,original_names,plot_names
0,raw_CH__bf_mask_Intensity_IntegratedIntensity,[Integrated Intensity]-TmCH(BF)
1,raw_CH__bf_mask_Intensity_IntegratedIntensityEdge,[Integrated Intensity Edge]-TmCH(BF)
2,raw_CH__bf_mask_Intensity_LowerQuartileIntensity,[Lower Quartile Intensity]-TmCH(BF)
3,raw_CH__bf_mask_Intensity_MADIntensity,[M AD Intensity]-TmCH(BF)
4,raw_CH__bf_mask_Intensity_MassDisplacement,[Mass Displacement]-TmCH(BF)
5,raw_CH__bf_mask_Intensity_MaxIntensity,[Max Intensity]-TmCH(BF)
6,raw_CH__bf_mask_Intensity_MaxIntensityEdge,[Max Intensity Edge]-TmCH(BF)
7,raw_CH__bf_mask_Intensity_MeanIntensity,[Mean Intensity]-TmCH(BF)
8,raw_CH__bf_mask_Intensity_MeanIntensityEdge,[Mean Intensity Edge]-TmCH(BF)
9,raw_CH__bf_mask_Intensity_MedianIntensity,[Median Intensity]-TmCH(BF)
10,raw_CH__bf_mask_Intensity_MinIntensity,[Min Intensity]-TmCH(BF)
11,raw_CH__bf_mask_Intensity_MinIntensityEdge,[Min Intensity Edge]-TmCH(BF)
12,raw_CH__bf_mask_Intensity_StdIntensity,[Std Intensity]-TmCH(BF)
13,raw_CH__bf_mask_Intensity_StdIntensityEdge,[Std Intensity Edge]-TmCH(BF)
14,raw_CH__bf_mask_Intensity_UpperQuartileIntensity,[Upper Quartile Intensity]-TmCH(BF)
15,raw_CH__bf_mask_RadialDistribution_FracAtD_1of9,[Radial Distribution Sum 1of9]-TmCH(BF)
16,raw_CH__bf_mask_RadialDistribution_FracAtD_2of9,[Radial Distribution Sum 2of9]-TmCH(BF)
17,raw_CH__bf_mask_RadialDistribution_FracAtD_3of9,[Radial Distribution Sum 3of9]-TmCH(BF)
18,raw_CH__bf_mask_RadialDistribution_FracAtD_4of9,[Radial Distribution Sum 4of9]-TmCH(BF)
19,raw_CH__bf_mask_RadialDistribution_FracAtD_5of9,[Radial Distribution Sum 5of9]-TmCH(BF)
20,raw_CH__bf_mask_RadialDistribution_FracAtD_6of9,[Radial Distribution Sum 6of9]-TmCH(BF)
21,raw_CH__bf_mask_RadialDistribution_FracAtD_7of9,[Radial Distribution Sum 7of9]-TmCH(BF)
22,raw_CH__bf_mask_RadialDistribution_FracAtD_8of9,[Radial Distribution Sum 8of9]-TmCH(BF)
23,raw_CH__bf_mask_RadialDistribution_FracAtD_9of9,[Radial Distribution Sum 9of9]-TmCH(BF)
24,raw_CH__bf_mask_RadialDistribution_MeanFrac_1of9,[Radial Distribution Mean 1of9]-TmCH(BF)
25,raw_CH__bf_mask_RadialDistribution_MeanFrac_2of9,[Radial Distribution Mean 2of9]-TmCH(BF)
26,raw_CH__bf_mask_RadialDistribution_MeanFrac_3of9,[Radial Distribution Mean 3of9]-TmCH(BF)
27,raw_CH__bf_mask_RadialDistribution_MeanFrac_4of9,[Radial Distribution Mean 4of9]-TmCH(BF)
28,raw_CH__bf_mask_RadialDistribution_MeanFrac_5of9,[Radial Distribution Mean 5of9]-TmCH(BF)
29,raw_CH__bf_mask_RadialDistribution_MeanFrac_6of9,[Radial Distribution Mean 6of9]-TmCH(BF)
30,raw_CH__bf_mask_RadialDistribution_MeanFrac_7of9,[Radial Distribution Mean 7of9]-TmCH(BF)
31,raw_CH__bf_mask_RadialDistribution_MeanFrac_8of9,[Radial Distribution Mean 8of9]-TmCH(BF)
32,raw_CH__bf_mask_RadialDistribution_MeanFrac_9of9,[Radial Distribution Mean 9of9]-TmCH(BF)
33,raw_CH__bf_mask_RadialDistribution_RadialCV_1of9,[Radial Distribution Radial CV 1of9]-TmCH(BF)
34,raw_CH__bf_mask_RadialDistribution_RadialCV_2of9,[Radial Distribution Radial CV 2of9]-TmCH(BF)
35,raw_CH__bf_mask_RadialDistribution_RadialCV_3of9,[Radial Distribution Radial CV 3of9]-TmCH(BF)
36,raw_CH__bf_mask_RadialDistribution_RadialCV_4of9,[Radial Distribution Radial CV 4of9]-TmCH(BF)
37,raw_CH__bf_mask_RadialDistribution_RadialCV_5of9,[Radial Distribution Radial CV 5of9]-TmCH(BF)
38,raw_CH__bf_mask_RadialDistribution_RadialCV_6of9,[Radial Distribution Radial CV 6of9]-TmCH(BF)
39,raw_CH__bf_mask_RadialDistribution_RadialCV_7of9,[Radial Distribution Radial CV 7of9]-TmCH(BF)
40,raw_CH__bf_mask_RadialDistribution_RadialCV_8of9,[Radial Distribution Radial CV 8of9]-TmCH(BF)
41,raw_CH__bf_mask_RadialDistribution_RadialCV_9of9,[Radial Distribution Radial CV 9of9]-TmCH(BF)
42,raw_CH_bra_mask_Intensity_IntegratedIntensity,[Integrated Intensity]-TmCH(BF)
43,raw_CH_bra_mask_Intensity_IntegratedIntensityEdge,[Integrated Intensity Edge]-TmCH(BF)
44,raw_CH_bra_mask_Intensity_LowerQuartileIntensity,[Lower Quartile Intensity]-TmCH(BF)
45,raw_CH_bra_mask_Intensity_MADIntensity,[M AD Intensity]-TmCH(BF)
46,raw_CH_bra_mask_Intensity_MassDisplacement,[Mass Displacement]-TmCH(BF)
47,raw_CH_bra_mask_Intensity_MaxIntensity,[Max Intensity]-TmCH(BF)
48,raw_CH_bra_mask_Intensity_MaxIntensityEdge,[Max Intensity Edge]-TmCH(BF)
49,raw_CH_bra_mask_Intensity_MeanIntensity,[Mean Intensity]-TmCH(BF)
50,raw_CH_bra_mask_Intensity_MeanIntensityEdge,[Mean Intensity Edge]-TmCH(BF)
51,raw_CH_bra_mask_Intensity_MedianIntensity,[Median Intensity]-TmCH(BF)
52,raw_CH_bra_mask_Intensity_MinIntensity,[Min Intensity]-TmCH(BF)
53,raw_CH_bra_mask_Intensity_MinIntensityEdge,[Min Intensity Edge]-TmCH(BF)
54,raw_CH_bra_mask_Intensity_StdIntensity,[Std Intensity]-TmCH(BF)
55,raw_CH_bra_mask_Intensity_StdIntensityEdge,[Std Intensity Edge]-TmCH(BF)
56,raw_CH_bra_mask_Intensity_UpperQuartileIntensity,[Upper Quartile Intensity]-TmCH(BF)
57,raw_CH_bra_mask_RadialDistribution_FracAtD_1of9,[Radial Distribution Sum 1of9]-TmCH(BF)
58,raw_CH_bra_mask_RadialDistribution_FracAtD_2of9,[Radial Distribution Sum 2of9]-TmCH(BF)
59,raw_CH_bra_mask_RadialDistribution_FracAtD_3of9,[Radial Distribution Sum 3of9]-TmCH(BF)
60,raw_CH_bra_mask_RadialDistribution_FracAtD_4of9,[Radial Distribution Sum 4of9]-TmCH(BF)
61,raw_CH_bra_mask_RadialDistribution_FracAtD_5of9,[Radial Distribution Sum 5of9]-TmCH(BF)
62,raw_CH_bra_mask_RadialDistribution_FracAtD_6of9,[Radial Distribution Sum 6of9]-TmCH(BF)
63,raw_CH_bra_mask_RadialDistribution_FracAtD_7of9,[Radial Distribution Sum 7of9]-TmCH(BF)
64,raw_CH_bra_mask_RadialDistribution_FracAtD_8of9,[Radial Distribution Sum 8of9]-TmCH(BF)
65,raw_CH_bra_mask_RadialDistribution_FracAtD_9of9,[Radial Distribution Sum 9of9]-TmCH(BF)
