,original_names,plot_names
0,048h_raw_BF_AreaShape_area,048h  Area
1,048h_raw_BF_AreaShape_aspect_ratio,048h  Aspect Ratio
2,048h_raw_BF_AreaShape_axis_major_length,048h  Axis Major Length
3,048h_raw_BF_AreaShape_axis_minor_length,048h  Axis Minor Length
4,048h_raw_BF_AreaShape_eccentricity,048h  Eccentricity
5,048h_raw_BF_AreaShape_feret_diameter_max,048h  Feret Diameter Max
6,048h_raw_BF_AreaShape_perimeter,048h  Perimeter
7,048h_raw_BF_AreaShape_solidity,048h  Solidity
8,048h_str_BF_AreaShape_area,048h str  Area
9,048h_str_BF_AreaShape_aspect_ratio,048h str  Aspect Ratio
10,048h_str_BF_AreaShape_eccentricity,048h str  Eccentricity
11,048h_str_BF_AreaShape_equivalent_diameter,048h str  Equivalent Diameter
12,048h_str_BF_AreaShape_extent,048h str  Extent
13,048h_str_BF_AreaShape_form_factor,048h str  Form Factor
14,048h_str_BF_AreaShape_inertia_tensor_0_0,048h str  Inertia Tensor 0 0
15,048h_str_BF_AreaShape_inertia_tensor_0_1,048h str  Inertia Tensor 0 1
16,048h_str_BF_AreaShape_inertia_tensor_1_0,048h str  Inertia Tensor 1 0
17,048h_str_BF_AreaShape_inertia_tensor_1_1,048h str  Inertia Tensor 1 1
18,048h_str_BF_AreaShape_inertia_tensor_eigvals_0,048h str  Inertia Tensor Eigvals 0
19,048h_str_BF_AreaShape_inertia_tensor_eigvals_1,048h str  Inertia Tensor Eigvals 1
20,048h_str_BF_AreaShape_locoefa_PC_1,048h str  LoCo EFA Pc 1
21,048h_str_BF_AreaShape_locoefa_PC_2,048h str  LoCo EFA Pc 2
22,048h_str_BF_AreaShape_locoefa_PC_3,048h str  LoCo EFA Pc 3
23,048h_str_BF_AreaShape_locoefa_PC_4,048h str  LoCo EFA Pc 4
24,048h_str_BF_AreaShape_locoefa_PC_5,048h str  LoCo EFA Pc 5
25,048h_str_BF_AreaShape_locoefa_UMAP_1,048h str  LoCo EFA Umap 1
26,048h_str_BF_AreaShape_locoefa_UMAP_2,048h str  LoCo EFA Umap 2
27,048h_str_BF_AreaShape_locoefa_UMAP_3,048h str  LoCo EFA Umap 3
28,048h_str_BF_AreaShape_locoefa_coeff_0,048h str  LoCo EFA Coeff 0
29,048h_str_BF_AreaShape_locoefa_coeff_1,048h str  LoCo EFA Coeff 1
30,048h_str_BF_AreaShape_locoefa_coeff_10,048h str  LoCo EFA Coeff 10
31,048h_str_BF_AreaShape_locoefa_coeff_11,048h str  LoCo EFA Coeff 11
32,048h_str_BF_AreaShape_locoefa_coeff_12,048h str  LoCo EFA Coeff 12
33,048h_str_BF_AreaShape_locoefa_coeff_13,048h str  LoCo EFA Coeff 13
34,048h_str_BF_AreaShape_locoefa_coeff_14,048h str  LoCo EFA Coeff 14
35,048h_str_BF_AreaShape_locoefa_coeff_15,048h str  LoCo EFA Coeff 15
36,048h_str_BF_AreaShape_locoefa_coeff_16,048h str  LoCo EFA Coeff 16
37,048h_str_BF_AreaShape_locoefa_coeff_17,048h str  LoCo EFA Coeff 17
38,048h_str_BF_AreaShape_locoefa_coeff_18,048h str  LoCo EFA Coeff 18
39,048h_str_BF_AreaShape_locoefa_coeff_19,048h str  LoCo EFA Coeff 19
40,048h_str_BF_AreaShape_locoefa_coeff_2,048h str  LoCo EFA Coeff 2
41,048h_str_BF_AreaShape_locoefa_coeff_20,048h str  LoCo EFA Coeff 20
42,048h_str_BF_AreaShape_locoefa_coeff_21,048h str  LoCo EFA Coeff 21
43,048h_str_BF_AreaShape_locoefa_coeff_22,048h str  LoCo EFA Coeff 22
44,048h_str_BF_AreaShape_locoefa_coeff_23,048h str  LoCo EFA Coeff 23
45,048h_str_BF_AreaShape_locoefa_coeff_24,048h str  LoCo EFA Coeff 24
46,048h_str_BF_AreaShape_locoefa_coeff_25,048h str  LoCo EFA Coeff 25
47,048h_str_BF_AreaShape_locoefa_coeff_26,048h str  LoCo EFA Coeff 26
48,048h_str_BF_AreaShape_locoefa_coeff_27,048h str  LoCo EFA Coeff 27
49,048h_str_BF_AreaShape_locoefa_coeff_28,048h str  LoCo EFA Coeff 28
50,048h_str_BF_AreaShape_locoefa_coeff_29,048h str  LoCo EFA Coeff 29
51,048h_str_BF_AreaShape_locoefa_coeff_3,048h str  LoCo EFA Coeff 3
52,048h_str_BF_AreaShape_locoefa_coeff_30,048h str  LoCo EFA Coeff 30
53,048h_str_BF_AreaShape_locoefa_coeff_31,048h str  LoCo EFA Coeff 31
54,048h_str_BF_AreaShape_locoefa_coeff_32,048h str  LoCo EFA Coeff 32
55,048h_str_BF_AreaShape_locoefa_coeff_33,048h str  LoCo EFA Coeff 33
56,048h_str_BF_AreaShape_locoefa_coeff_34,048h str  LoCo EFA Coeff 34
57,048h_str_BF_AreaShape_locoefa_coeff_35,048h str  LoCo EFA Coeff 35
58,048h_str_BF_AreaShape_locoefa_coeff_36,048h str  LoCo EFA Coeff 36
59,048h_str_BF_AreaShape_locoefa_coeff_37,048h str  LoCo EFA Coeff 37
60,048h_str_BF_AreaShape_locoefa_coeff_38,048h str  LoCo EFA Coeff 38
61,048h_str_BF_AreaShape_locoefa_coeff_39,048h str  LoCo EFA Coeff 39
62,048h_str_BF_AreaShape_locoefa_coeff_4,048h str  LoCo EFA Coeff 4
63,048h_str_BF_AreaShape_locoefa_coeff_40,048h str  LoCo EFA Coeff 40
64,048h_str_BF_AreaShape_locoefa_coeff_41,048h str  LoCo EFA Coeff 41
65,048h_str_BF_AreaShape_locoefa_coeff_42,048h str  LoCo EFA Coeff 42
66,048h_str_BF_AreaShape_locoefa_coeff_43,048h str  LoCo EFA Coeff 43
67,048h_str_BF_AreaShape_locoefa_coeff_44,048h str  LoCo EFA Coeff 44
68,048h_str_BF_AreaShape_locoefa_coeff_45,048h str  LoCo EFA Coeff 45
69,048h_str_BF_AreaShape_locoefa_coeff_46,048h str  LoCo EFA Coeff 46
70,048h_str_BF_AreaShape_locoefa_coeff_47,048h str  LoCo EFA Coeff 47
71,048h_str_BF_AreaShape_locoefa_coeff_48,048h str  LoCo EFA Coeff 48
72,048h_str_BF_AreaShape_locoefa_coeff_49,048h str  LoCo EFA Coeff 49
73,048h_str_BF_AreaShape_locoefa_coeff_5,048h str  LoCo EFA Coeff 5
74,048h_str_BF_AreaShape_locoefa_coeff_50,048h str  LoCo EFA Coeff 50
75,048h_str_BF_AreaShape_locoefa_coeff_51,048h str  LoCo EFA Coeff 51
76,048h_str_BF_AreaShape_locoefa_coeff_6,048h str  LoCo EFA Coeff 6
77,048h_str_BF_AreaShape_locoefa_coeff_7,048h str  LoCo EFA Coeff 7
78,048h_str_BF_AreaShape_locoefa_coeff_8,048h str  LoCo EFA Coeff 8
79,048h_str_BF_AreaShape_locoefa_coeff_9,048h str  LoCo EFA Coeff 9
80,048h_str_BF_AreaShape_major_axis_length,048h str  Major Axis Length
81,048h_str_BF_AreaShape_minor_axis_length,048h str  Minor Axis Length
82,048h_str_BF_AreaShape_moments_hu_0,048h str  Moments Hu 0
83,048h_str_BF_AreaShape_moments_hu_1,048h str  Moments Hu 1
84,048h_str_BF_AreaShape_moments_hu_2,048h str  Moments Hu 2
85,048h_str_BF_AreaShape_moments_hu_3,048h str  Moments Hu 3
86,048h_str_BF_AreaShape_moments_hu_4,048h str  Moments Hu 4
87,048h_str_BF_AreaShape_moments_hu_5,048h str  Moments Hu 5
88,048h_str_BF_AreaShape_moments_hu_6,048h str  Moments Hu 6
89,048h_str_BF_AreaShape_orientation,048h str  Orientation
90,048h_str_BF_AreaShape_perimeter,048h str  Perimeter
91,072h_raw_BF_AreaShape_area,072h  Area
92,072h_raw_BF_AreaShape_aspect_ratio,072h  Aspect Ratio
93,072h_raw_BF_AreaShape_axis_major_length,072h  Axis Major Length
94,072h_raw_BF_AreaShape_axis_minor_length,072h  Axis Minor Length
95,072h_raw_BF_AreaShape_eccentricity,072h  Eccentricity
96,072h_raw_BF_AreaShape_feret_diameter_max,072h  Feret Diameter Max
97,072h_raw_BF_AreaShape_perimeter,072h  Perimeter
98,072h_raw_BF_AreaShape_solidity,072h  Solidity
99,072h_str_BF_AreaShape_area,072h str  Area
100,072h_str_BF_AreaShape_aspect_ratio,072h str  Aspect Ratio
101,072h_str_BF_AreaShape_eccentricity,072h str  Eccentricity
102,072h_str_BF_AreaShape_equivalent_diameter,072h str  Equivalent Diameter
103,072h_str_BF_AreaShape_extent,072h str  Extent
104,072h_str_BF_AreaShape_form_factor,072h str  Form Factor
