ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_ID,Metadata_Plate,Metadata_Run,Metadata_Series,FileName__72h_brachyury_mask,FileName__72h_brachyury_original,FileName__72h_brightfield_mask,PathName__72h_brachyury_mask,PathName__72h_brachyury_original,PathName__72h_brightfield_mask,Intensity_IntegratedIntensityEdge__72h_brachyury_original,Intensity_IntegratedIntensity__72h_brachyury_original,Intensity_LowerQuartileIntensity__72h_brachyury_original,Intensity_MADIntensity__72h_brachyury_original,Intensity_MassDisplacement__72h_brachyury_original,Intensity_MaxIntensityEdge__72h_brachyury_original,Intensity_MaxIntensity__72h_brachyury_original,Intensity_MeanIntensityEdge__72h_brachyury_original,Intensity_MeanIntensity__72h_brachyury_original,Intensity_MedianIntensity__72h_brachyury_original,Intensity_MinIntensityEdge__72h_brachyury_original,Intensity_MinIntensity__72h_brachyury_original,Intensity_StdIntensityEdge__72h_brachyury_original,Intensity_StdIntensity__72h_brachyury_original,Intensity_UpperQuartileIntensity__72h_brachyury_original,Location_CenterMassIntensity_X__72h_brachyury_original,Location_CenterMassIntensity_Y__72h_brachyury_original,Location_CenterMassIntensity_Z__72h_brachyury_original,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X__72h_brachyury_original,Location_MaxIntensity_Y__72h_brachyury_original,Location_MaxIntensity_Z__72h_brachyury_original,Number_Object_Number,RadialDistribution_FracAtD__72h_brachyury_original_1of9,RadialDistribution_FracAtD__72h_brachyury_original_2of9,RadialDistribution_FracAtD__72h_brachyury_original_3of9,RadialDistribution_FracAtD__72h_brachyury_original_4of9,RadialDistribution_FracAtD__72h_brachyury_original_5of9,RadialDistribution_FracAtD__72h_brachyury_original_6of9,RadialDistribution_FracAtD__72h_brachyury_original_7of9,RadialDistribution_FracAtD__72h_brachyury_original_8of9,RadialDistribution_FracAtD__72h_brachyury_original_9of9,RadialDistribution_MeanFrac__72h_brachyury_original_1of9,RadialDistribution_MeanFrac__72h_brachyury_original_2of9,RadialDistribution_MeanFrac__72h_brachyury_original_3of9,RadialDistribution_MeanFrac__72h_brachyury_original_4of9,RadialDistribution_MeanFrac__72h_brachyury_original_5of9,RadialDistribution_MeanFrac__72h_brachyury_original_6of9,RadialDistribution_MeanFrac__72h_brachyury_original_7of9,RadialDistribution_MeanFrac__72h_brachyury_original_8of9,RadialDistribution_MeanFrac__72h_brachyury_original_9of9,RadialDistribution_RadialCV__72h_brachyury_original_1of9,RadialDistribution_RadialCV__72h_brachyury_original_2of9,RadialDistribution_RadialCV__72h_brachyury_original_3of9,RadialDistribution_RadialCV__72h_brachyury_original_4of9,RadialDistribution_RadialCV__72h_brachyury_original_5of9,RadialDistribution_RadialCV__72h_brachyury_original_6of9,RadialDistribution_RadialCV__72h_brachyury_original_7of9,RadialDistribution_RadialCV__72h_brachyury_original_8of9,RadialDistribution_RadialCV__72h_brachyury_original_9of9
1,1,nan,0,A10,1,RR,0,FK223_run_RR_PLATE_1_ID_A10_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A10_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A10_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2217.2654089927673,104791.48801326752,9.799832344055176,1.201974868774414,1.4556230694026322,10.091246604919434,15.493579864501953,7.245965388865253,11.210043647118905,11.820598602294922,5.502167701721191,5.434518814086914,1.0117646676944707,2.1007607658243797,12.759054183959961,366.50279819040946,252.63241491008938,0.0,367.8770860077022,252.15265297389817,0,361.0,222.0,0.0,1,0.012223416,0.037506167,0.06509567,0.09454246,0.12299756,0.1511867,0.17470267,0.18514137,0.15660396,1.1313316123098787,1.134652581463732,1.1374099589396816,1.1567839050948276,1.1395254580837506,1.11020684598097,1.0646157744188804,0.948849519714712,0.7323330857862281,0.03740040010193525,0.06985043269076316,0.04112879233180824,0.0276401358147034,0.039425617640239004,0.06886230019003724,0.07915129369279544,0.09203868482210245,0.11913910728651664
2,1,nan,0,A11,1,RR,0,FK223_run_RR_PLATE_1_ID_A11_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A11_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A11_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2201.623872280121,93524.19422674179,9.593559265136719,1.3059768676757812,1.329987217654812,10.379220008850098,16.11195182800293,7.488516572381363,10.84464218770197,11.09163761138916,5.5483479499816895,5.5483479499816895,0.9284019978127246,1.9106039668973929,12.22071647644043,353.53908845726767,270.30233121858214,0.0,354.4093228200371,271.3080936920223,0,349.0,231.0,0.0,1,0.011049311,0.035956845,0.06252653,0.092409454,0.122308254,0.14896922,0.17566149,0.18482123,0.1662977,1.058769503070226,1.0842371628834577,1.0982256778145958,1.1240326287211724,1.1233081837939483,1.0989824954621072,1.0660835216785285,0.9527186579285295,0.7768967492608819,0.02955855341427135,0.06421667534885916,0.06034009067368241,0.06908138885646249,0.07007113904097731,0.06994061620371655,0.10221454657935926,0.11557568090626068,0.10700603922107332
3,1,nan,0,A12,1,RR,0,FK223_run_RR_PLATE_1_ID_A12_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A12_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A12_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2390.4786744117737,103574.99274396896,9.531569004058838,1.2030773162841797,2.8884209125046687,10.700448036193848,16.736825942993164,7.540942190573419,10.7021071237827,10.782600402832031,5.750071048736572,5.750071048736572,1.1620882246600432,1.9011208144394034,11.92880630493164,348.5693311890928,272.77661054395605,0.0,351.0488737342426,274.25811117999586,0,311.0,273.0,0.0,1,0.01065776,0.033103853,0.05745722,0.08398974,0.11461984,0.14916672,0.18120018,0.19583988,0.17396468,0.9917865800491975,0.9857818271563539,0.9947602384871963,1.0198904618415183,1.0564674732940516,1.0911832940416253,1.1050127964389331,1.0168124340122848,0.8137410177361731,0.019519804112149576,0.024888091216108712,0.02780707094237973,0.05063633120535852,0.0845948731480936,0.11424461722293641,0.13479511906000413,0.1477422147954583,0.13967967760759062
4,1,nan,0,A1,1,RR,0,FK223_run_RR_PLATE_1_ID_A1_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A1_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A1_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2239.77454328537,101744.26576566696,9.336175441741943,1.0797271728515625,1.8053605555531553,9.390488624572754,14.330682754516602,7.065534836862366,10.320984557280074,10.535845756530762,5.198892116546631,5.198892116546631,0.8273602266017097,1.7031311506616051,11.543184757232666,403.187953184191,274.047773511827,0.0,402.3097991479002,272.47037938729966,0,429.0,264.0,0.0,1,0.010922471,0.033972528,0.06002749,0.086042956,0.117699414,0.14992248,0.1791075,0.1944179,0.16788724,1.015789808705428,1.0117860403800953,1.0473469190233535,1.0589406435632498,1.0843746056623527,1.0996545838591225,1.0919244005750843,0.9976947412461047,0.7869864090873231,0.016989347786345196,0.02483097504470806,0.035741680305466775,0.045387856872820806,0.06407300122149118,0.08200406622564645,0.09648785406953943,0.10705906432376057,0.09917122262489061
5,1,nan,0,A2,1,RR,0,FK223_run_RR_PLATE_1_ID_A2_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A2_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A2_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2097.0418090820312,78496.98808670044,9.016111850738525,0.7740421295166016,1.420112960800051,9.725359916687012,12.856189727783203,7.281395170423719,9.845351572394385,10.103397846221924,5.583968162536621,5.583968162536621,0.9310411154992788,1.3377683945981356,10.747714757919312,324.9473715337246,355.9629168219678,0.0,325.7238178853631,354.77386178351935,0,288.0,367.0,0.0,1,0.010241091,0.0353443,0.060500395,0.08800262,0.116828,0.14599141,0.17560601,0.19267562,0.17481047,0.9837616933397291,1.0437040568915712,1.062488206543254,1.0647115420680096,1.074359469700091,1.0817746747991392,1.0663417642205508,0.9853769857543937,0.823737512137872,0.024661040491999672,0.02878573408035859,0.021879994539305225,0.01194551071289178,0.0439944852774327,0.06581744113949763,0.06721217867427996,0.09245378482537639,0.09180777815485651
6,1,nan,0,A3,1,RR,0,FK223_run_RR_PLATE_1_ID_A3_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A3_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A3_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2188.7157487869263,94784.5253124237,8.703266620635986,0.799339771270752,1.6875843251497329,9.516324043273926,13.095284461975098,6.776209748566335,9.540465557365245,9.928411960601807,5.040928363800049,5.030537128448486,0.8790576271825533,1.4473722724182394,10.5861496925354,422.39631951001473,259.6485304118339,0.0,421.9037745344741,258.03442375440363,0,466.0,276.0,0.0,1,0.01114976,0.035462115,0.061445057,0.0864738,0.11601553,0.14438303,0.1749578,0.19414814,0.17596476,1.0651237397597735,1.0840495757758544,1.092051243632761,1.075240557451493,1.0782173074872479,1.0649186226179073,1.063122759946259,0.9937463949891712,0.8108580096215278,0.02492085487606005,0.051387020682736186,0.03743244656018767,0.0336946981684031,0.03725150118093385,0.05086717465609468,0.07442487510350711,0.11755136235670868,0.12239869086014966
7,1,nan,0,A4,1,RR,0,FK223_run_RR_PLATE_1_ID_A4_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A4_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A4_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2096.7004261016846,86512.05100870132,9.034905433654785,1.1860008239746094,2.528120576653886,9.178006172180176,15.137091636657715,7.131634102386682,10.281917162907217,10.425657272338867,5.085616588592529,5.085616588592529,0.8724680457722938,1.7804694170092632,11.489749431610107,423.3391640967421,282.24463487932366,0.0,422.17185642975994,280.00213929165676,0,448.0,310.0,0.0,1,0.010934498,0.033443417,0.059505306,0.08855868,0.11822347,0.14730036,0.17773971,0.19334678,0.17094773,1.022254083636713,1.030743274742205,1.045256046418851,1.0799025283127563,1.0895205974121844,1.0881345485573366,1.0790057119094951,0.9962154540888594,0.7942320291407517,0.0121121782339606,0.026496660315555004,0.02764312612344419,0.04483783178031986,0.07614044795570571,0.10769506576793468,0.13076928143255478,0.14456970001187328,0.11645940974641383
8,1,nan,0,A5,1,RR,0,FK223_run_RR_PLATE_1_ID_A5_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A5_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A5_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,1753.9335193634033,66631.71516180038,7.0,0.539851188659668,0.9885205484613144,7.190979957580566,11.027841567993164,5.865998392519743,7.551191654782455,7.539851188659668,5.038649559020996,4.602231502532959,0.5244845020646847,0.988318178671191,8.00271987915039,379.10792163297356,258.56970638509426,0.0,378.32830915684497,259.1774705349048,0,396.0,227.0,0.0,1,0.010883821,0.034586255,0.05982697,0.088054724,0.11790604,0.14661756,0.17291221,0.18831559,0.18089683,1.0439004135196401,1.0416010572438286,1.0495291931728679,1.0731973548455762,1.0792561303901453,1.0754392047970849,1.0508108423104285,0.9774686613503613,0.843229613918761,0.03481808031842324,0.04697085516095641,0.04968818262848315,0.060949970555509735,0.061655841585504724,0.0743874511052485,0.07968791017895342,0.06390066234354447,0.04864261304703986
9,1,nan,0,A6,1,RR,0,FK223_run_RR_PLATE_1_ID_A6_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A6_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A6_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,2413.7849740982056,104960.67877006531,9.999999046325684,0.7845802307128906,0.734423053553546,9.96390438079834,16.2069149017334,7.449953623759893,10.52976311898729,10.657295227050781,5.675160884857178,5.502593994140625,0.8498574985408108,1.3902238060364955,11.48913860321045,365.93418684536806,326.5469340920043,0.0,365.81902086677366,327.2722712680578,0,389.0,323.0,0.0,1,0.011107564,0.03498452,0.06088843,0.08748022,0.116176546,0.14619888,0.17398313,0.19443707,0.17474364,1.0445301667699056,1.0409722716060967,1.0610766655706818,1.067322895022031,1.0732602472101989,1.0770956927198687,1.0561898956926077,1.0042221401639542,0.8162345726465433,0.048197486649340246,0.05058116830760102,0.05748770616148564,0.06656279521634134,0.06919945358364478,0.05744112127664307,0.03615288385281629,0.03215735090398344,0.06148255542657567
10,1,nan,0,A7,1,RR,0,FK223_run_RR_PLATE_1_ID_A7_C_BRA_mask.tif,FK223_run_RR_PLATE_1_ID_A7_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A7_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brachyury\72h,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\72h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\72h,1955.0579380989075,82522.91688203812,8.361811876296997,1.4134602546691895,1.9257823359475303,8.908292770385742,15.866496086120605,6.718412158415489,9.705153108554406,9.834991931915283,5.253739833831787,5.193338871002197,0.7063701297128581,1.792670437342307,11.216001033782959,379.30583725568545,325.26911617881694,0.0,377.75643890391626,326.41279548394687,0,389.0,323.0,0.0,1,0.012207779,0.039270647,0.06665875,0.09430168,0.1232785,0.15022814,0.1705833,0.18030451,0.16316667,1.1282907141797498,1.1396529363029573,1.1543775005095316,1.138987457496111,1.1320054795005643,1.1059652793975085,1.0457604463120187,0.9302968863958427,0.7677953580201621,0.019313773940219197,0.039905842758814127,0.052980082543472806,0.07736855409906164,0.08573619075029695,0.10259804224408169,0.11069066530630771,0.1130237409177629,0.09467251568660211
