ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_ID,Metadata_Plate,Metadata_Run,Metadata_Series,FileName__72h_brachyury_original,FileName__72h_brightfield_mask,PathName__72h_brachyury_original,PathName__72h_brightfield_mask,Intensity_IntegratedIntensityEdge__72h_brachyury_original,Intensity_IntegratedIntensity__72h_brachyury_original,Intensity_LowerQuartileIntensity__72h_brachyury_original,Intensity_MADIntensity__72h_brachyury_original,Intensity_MassDisplacement__72h_brachyury_original,Intensity_MaxIntensityEdge__72h_brachyury_original,Intensity_MaxIntensity__72h_brachyury_original,Intensity_MeanIntensityEdge__72h_brachyury_original,Intensity_MeanIntensity__72h_brachyury_original,Intensity_MedianIntensity__72h_brachyury_original,Intensity_MinIntensityEdge__72h_brachyury_original,Intensity_MinIntensity__72h_brachyury_original,Intensity_StdIntensityEdge__72h_brachyury_original,Intensity_StdIntensity__72h_brachyury_original,Intensity_UpperQuartileIntensity__72h_brachyury_original,RadialDistribution_FracAtD__72h_brachyury_original_1of9,RadialDistribution_FracAtD__72h_brachyury_original_2of9,RadialDistribution_FracAtD__72h_brachyury_original_3of9,RadialDistribution_FracAtD__72h_brachyury_original_4of9,RadialDistribution_FracAtD__72h_brachyury_original_5of9,RadialDistribution_FracAtD__72h_brachyury_original_6of9,RadialDistribution_FracAtD__72h_brachyury_original_7of9,RadialDistribution_FracAtD__72h_brachyury_original_8of9,RadialDistribution_FracAtD__72h_brachyury_original_9of9,RadialDistribution_MeanFrac__72h_brachyury_original_1of9,RadialDistribution_MeanFrac__72h_brachyury_original_2of9,RadialDistribution_MeanFrac__72h_brachyury_original_3of9,RadialDistribution_MeanFrac__72h_brachyury_original_4of9,RadialDistribution_MeanFrac__72h_brachyury_original_5of9,RadialDistribution_MeanFrac__72h_brachyury_original_6of9,RadialDistribution_MeanFrac__72h_brachyury_original_7of9,RadialDistribution_MeanFrac__72h_brachyury_original_8of9,RadialDistribution_MeanFrac__72h_brachyury_original_9of9,RadialDistribution_RadialCV__72h_brachyury_original_1of9,RadialDistribution_RadialCV__72h_brachyury_original_2of9,RadialDistribution_RadialCV__72h_brachyury_original_3of9,RadialDistribution_RadialCV__72h_brachyury_original_4of9,RadialDistribution_RadialCV__72h_brachyury_original_5of9,RadialDistribution_RadialCV__72h_brachyury_original_6of9,RadialDistribution_RadialCV__72h_brachyury_original_7of9,RadialDistribution_RadialCV__72h_brachyury_original_8of9,RadialDistribution_RadialCV__72h_brachyury_original_9of9
1,1,nan,0,A10,1,RR,0,FK223_run_RR_PLATE_1_ID_A10_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A10_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1070.3021364212036,26696.313828468323,4.363777756690979,0.1617138385772705,0.11249480584011115,5.785624027252197,5.847874164581299,4.441087702992546,4.56113340653824,4.520894289016724,4.0,3.738910675048828,0.261831157402287,0.27607484514400416,4.690145015716553,0.010427758,0.032667723,0.056844827,0.08188582,0.10784461,0.13692325,0.16614594,0.19747977,0.20978032,1.0005519368120668,1.0063377900147057,0.9991374510164157,0.9984952434431735,0.9971793408713049,1.0055355118538518,1.0056382227369263,1.0050861664310735,0.9886024283686112,0.012409588909397203,0.009567607862443282,0.00876484296217778,0.0056407025995762845,0.005661354177872213,0.008811956753130798,0.014407281842646998,0.007768695292693247,0.011543832215433598
2,1,nan,0,A11,1,RR,0,FK223_run_RR_PLATE_1_ID_A11_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A11_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1112.7586822509766,27442.533257961273,4.358661890029907,0.1634674072265625,0.11073083570991739,5.236208438873291,5.809743404388428,4.433301522912258,4.557046372959361,4.525472164154053,4.0,4.0,0.24073913570554528,0.27709908830242413,4.685103416442871,0.010384862,0.03312157,0.05731585,0.08143543,0.10869036,0.13743374,0.16639502,0.19808759,0.20713554,1.008671626418567,1.0023020112035195,1.0004522935635762,0.9987864395387277,0.9992875421092691,1.004400445781285,1.0101117251080358,1.0109181819073212,0.9790975206547657,0.014949031854102731,0.016300567962747554,0.009367599678058417,0.00991203778774004,0.005341442076356531,0.0063402596752462044,0.009582933413666056,0.007778259691563227,0.011030004942873503
3,1,nan,0,A12,1,RR,0,FK223_run_RR_PLATE_1_ID_A12_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A12_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1131.2937529087067,28931.304800271988,4.350203156471252,0.16861557960510254,0.07816263842801802,5.637840270996094,12.182605743408203,4.453912413026404,4.541093203621408,4.50589394569397,3.655599355697632,3.655599355697632,0.2581833256838473,0.29340594619882693,4.686604142189026,0.010306993,0.034071162,0.05729455,0.08195435,0.109287865,0.13645129,0.16561487,0.19547766,0.20954129,0.994937115927403,1.0003104851954479,0.9946146763617525,1.0040984233554713,1.001831641503802,1.0050071243778114,1.0068056841331114,1.0059678516499626,0.9852306752407233,0.013459169617886537,0.012071607237454393,0.007933822411140023,0.017101383994765934,0.01124568154393187,0.009940667068064376,0.008130357308365442,0.006548545970251698,0.00942727373352078
4,1,nan,0,A1,1,RR,0,FK223_run_RR_PLATE_1_ID_A1_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A1_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1132.4600114822388,30404.08270764351,4.320230007171631,0.15103816986083984,0.028620655879948498,8.936507225036621,8.936507225036621,4.338927247058386,4.468560068730675,4.486607074737549,3.5658371448516846,3.4813413619995117,0.37594677633181883,0.2368075595982198,4.62261438369751,0.010645764,0.03355677,0.05814861,0.08261279,0.10888538,0.13643217,0.16470644,0.19628254,0.20872955,1.0060246931388763,1.0058161529018947,1.0067255764289629,1.0037454005330775,1.0038700670730758,1.0013856424868668,1.0059807984362372,1.0079293385091805,0.9807982457523836,0.016825420538714754,0.00493175775454149,0.006157578314306776,0.005967302759800808,0.0042761095346133945,0.0038538334228173463,0.006811598754228975,0.005773891818672732,0.007651892932937117
5,1,nan,0,A2,1,RR,0,FK223_run_RR_PLATE_1_ID_A2_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A2_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1104.0952882766724,27371.370576381683,4.327778339385986,0.15610361099243164,0.06814539569190325,5.0,5.455010890960693,4.4519971301478725,4.487109930554374,4.484008312225342,4.0,3.5906381607055664,0.2180839575564162,0.22562958866757518,4.639711856842041,0.010716113,0.033862177,0.057521112,0.08201402,0.10915268,0.13771129,0.16525365,0.19428611,0.20948285,1.0056660138070375,0.9978709247521091,1.0082723701308474,1.0045893624963504,1.0073091693887533,1.0060345484111108,1.007040249896453,1.002660963539342,0.9806948401611388,0.01867759377592406,0.00486696086772636,0.005224509868466502,0.006737873748706905,0.0046942649949880235,0.0030548594119780975,0.009238130731422472,0.007633334791208848,0.008264833672156158
6,1,nan,0,A3,1,RR,0,FK223_run_RR_PLATE_1_ID_A3_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A3_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1222.8429973125458,32424.7068836689,4.335179328918457,0.1526350975036621,0.16194275654585347,5.571893215179443,5.733555793762207,4.398715817671028,4.49843325245129,4.492868900299072,3.5685455799102783,3.5222036838531494,0.2492673209269196,0.23423950014269126,4.6416401863098145,0.010643689,0.0328967,0.056817934,0.081444524,0.10904292,0.13438737,0.16734244,0.19684657,0.21057788,1.0094698689093502,1.004743316037163,1.00132926081678,1.003507915623165,1.001250151084485,1.000686147981437,1.006848332579425,1.00843646717817,0.9830604441116501,0.016447078729314155,0.008474906197667192,0.008892642283655048,0.013924291808119462,0.005425614137034775,0.004543591696530846,0.0068945617596660215,0.010967321245420238,0.012468144348135984
7,1,nan,0,A4,1,RR,0,FK223_run_RR_PLATE_1_ID_A4_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A4_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1126.27969455719,27771.055475234985,4.311009168624878,0.16533327102661133,0.05856670509549803,4.923713207244873,5.384016990661621,4.382411262868444,4.466236004380024,4.485123634338379,3.7632555961608887,3.522080898284912,0.21961170362350177,0.23194705551028355,4.638324975967407,0.010639005,0.034064315,0.058183488,0.08316784,0.10797528,0.13697584,0.16580087,0.1937474,0.20944597,1.0023232607283619,1.00384792551327,1.0077574521012587,1.0041507786628086,1.0050753025103807,1.0055676168435563,1.0087571490534117,1.0072920910490784,0.9762631414578226,0.01771252591265271,0.006408772919912657,0.005853847338565985,0.008474396477444381,0.004657721827018101,0.004574981793285161,0.007492502829787404,0.007831545160146983,0.006191701990582338
8,1,nan,0,A5,1,RR,0,FK223_run_RR_PLATE_1_ID_A5_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A5_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1145.3471467494965,29971.19256234169,4.303293943405151,0.16439294815063477,0.06223409892720894,5.666566848754883,8.563267707824707,4.354932116918238,4.469976519364906,4.49075722694397,3.5562894344329834,3.495659589767456,0.25829296237786303,0.2377030755390533,4.639720320701599,0.010541559,0.034054525,0.056965727,0.08289425,0.10784975,0.13645096,0.16496284,0.19569513,0.21058524,0.995509217125933,1.0014718922933399,0.9998827275980946,1.0014521644727576,0.9988018691292764,0.9998947487014223,1.0082733479677368,1.0093352770576098,0.9853272931357812,0.014616648093476618,0.01110203706744538,0.008452937866015342,0.004818311712444319,0.007611004744978708,0.0029313565552561297,0.004112643924151788,0.00919106858672601,0.005434208098118653
9,1,nan,0,A6,1,RR,0,FK223_run_RR_PLATE_1_ID_A6_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A6_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1166.5317058563232,31217.835688829422,4.342135429382324,0.15509772300720215,0.06446786934769512,5.2323737144470215,9.196162223815918,4.369032606203458,4.498895473242459,4.490688800811768,3.5830793380737305,3.5830793380737305,0.24270798822986578,0.23201582939063767,4.6502827405929565,0.010457178,0.03363554,0.05675422,0.08313738,0.108489834,0.13644888,0.16584049,0.19495691,0.21027952,0.9940048724489255,1.0060216574447869,1.0046365676086584,1.0015456017572406,1.0010783996611339,1.0029859577416094,1.0059153597697705,1.0043103366028214,0.9865649893849655,0.012367694109816212,0.009023857238467915,0.0053657197707226096,0.006348970545877566,0.00786552097324955,0.007253337579854462,0.0031337933944094254,0.00441885204455375,0.011593219212827391
10,1,nan,0,A7,1,RR,0,FK223_run_RR_PLATE_1_ID_A7_C_BRA.tif,FK223_run_RR_PLATE_1_ID_A7_C_BTFmask.tif,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Focussed Images\48h\Brachyury,C:\Users\savill\OneDrive\Documents\PhD Jesse\Embryonic_organoid_prediction\Processing dataset for Paper\TLS_2D_morphostate_investigation\image_data\Processed Data\Masks Brightfield\48h,1105.2476432323456,28036.505296707153,4.322926998138428,0.16026735305786133,0.09109326003945187,5.0,5.4761481285095215,4.368567759811643,4.491590082779102,4.484177112579346,3.7768430709838867,3.7768430709838867,0.23352603128783742,0.23096961024681262,4.6439597606658936,0.01128658,0.03365773,0.05819246,0.08268443,0.10885737,0.13651945,0.16606659,0.19442083,0.20831455,1.0210265562855907,1.0004359443982376,1.003418083184328,1.0041171137228986,1.0051593331939703,1.0072746902845133,1.0122926131589325,1.0054472387824644,0.974737210810809,0.018271053044442882,0.005633957861202247,0.004613306879472528,0.008168818883284511,0.007490208060635338,0.005103871976719763,0.007001968577647228,0.006856291527262571,0.00976805666272235
