"","r","p","padj","lower","upper"
"X072h_raw_CH__bf_mask_Intensity_IntegratedIntensity",-0.818530179632319,1.01860287267839e-06,0.000412534163434749,-0.918609147494642,-0.619780155202436
"X072h_raw_CH__bf_mask_Intensity_IntegratedIntensityEdge",-0.807656988324475,1.83014712203195e-06,0.000733888995934812,-0.9134470210887,-0.599620259927597
"X072h_raw_CH__bf_mask_Intensity_LowerQuartileIntensity",-0.867047406944511,4.2201486553504e-08,1.76402213793647e-05,-0.941234208142713,-0.713049950987053
"X072h_raw_CH__bf_mask_Intensity_MaxIntensity",-0.812272994554441,1.43362349401593e-06,0.000579183891582434,-0.915642669901827,-0.608146628327444
"X072h_raw_CH__bf_mask_Intensity_MaxIntensityEdge",-0.768815955857969,1.13823936692916e-05,0.00449604549937019,-0.894724693430755,-0.529698917264099
"X072h_raw_CH__bf_mask_Intensity_MeanIntensity",-0.908376919451788,8.57291040228452e-10,3.67777856258006e-07,-0.959996208461483,-0.797047208088294
"X072h_raw_CH__bf_mask_Intensity_MeanIntensityEdge",-0.861436774974097,6.47047901440197e-08,2.68524879097682e-05,-0.938651406835457,-0.701977929811303
"X072h_raw_CH__bf_mask_Intensity_MedianIntensity",-0.902562900082431,1.64052257871547e-09,7.02143663690223e-07,-0.957384589090622,-0.784964696454388
"X072h_raw_CH__bf_mask_Intensity_MinIntensity",-0.744917106154804,2.97277077455292e-05,0.0115640783130109,-0.882980675143028,-0.488233002484804
"X072h_raw_CH__bf_mask_Intensity_StdIntensity",-0.728170948555656,5.48794216757112e-05,0.0212932156101759,-0.874647235725236,-0.459851967175315
"X072h_raw_CH__bf_mask_Intensity_StdIntensityEdge",-0.75006712896273,2.43894121298673e-05,0.00956064955490799,-0.885526117402566,-0.497071694160482
"X072h_raw_CH__bf_mask_Intensity_UpperQuartileIntensity",-0.912369712343839,5.35223873441375e-10,2.30146265579791e-07,-0.961784558402261,-0.805396848017738
"X096h_raw_CH_AreaShape_Bra_AreaFraction",-0.856866577071847,9.04236822125574e-08,3.73449807537862e-05,-0.93654113860941,-0.693015706952684
"X096h_raw_CH__bf_mask_Intensity_IntegratedIntensity",-0.913758072776746,4.51972581809541e-10,1.94800182759912e-07,-0.962405411096755,-0.808310138181662
"X096h_raw_CH__bf_mask_Intensity_IntegratedIntensityEdge",-0.924943042654771,1.03411519991612e-10,4.47771881563681e-08,-0.967388676177592,-0.83197020863118
"X096h_raw_CH__bf_mask_Intensity_LowerQuartileIntensity",-0.833170330901679,4.34145668246488e-07,0.000177131432644567,-0.925506125435446,-0.64734513721979
"X096h_raw_CH__bf_mask_Intensity_MaxIntensity",-0.847322285217829,1.75544392246292e-07,7.21487452132261e-05,-0.932115404455186,-0.674461123516557
"X096h_raw_CH__bf_mask_Intensity_MaxIntensityEdge",-0.84530295265991,2.00842691083381e-07,8.21446606531027e-05,-0.931175772973311,-0.670563227067629
"X096h_raw_CH__bf_mask_Intensity_MeanIntensity",-0.925674914493122,9.31671696007928e-11,4.05277187763449e-08,-0.967713607386334,-0.833530247702276
"X096h_raw_CH__bf_mask_Intensity_MeanIntensityEdge",-0.92675840884508,7.96775194073166e-11,3.473939846159e-08,-0.968194393023397,-0.835842497358432
"X096h_raw_CH__bf_mask_Intensity_MedianIntensity",-0.929841259795539,5.03768061144226e-11,2.20146642720027e-08,-0.96956069352097,-0.842439202495792
"X096h_raw_CH__bf_mask_Intensity_MinIntensity",-0.747578886465436,2.68524998250648e-05,0.0104724749317753,-0.884297297111159,-0.492794699582099
"X096h_raw_CH__bf_mask_Intensity_MinIntensityEdge",-0.751099517907313,2.34274374036094e-05,0.00920698289961848,-0.88603540768943,-0.498849864455694
"X096h_raw_CH__bf_mask_Intensity_StdIntensity",-0.7022501195836,0.000130579899163179,0.0497509415811712,-0.861575172575346,-0.416976861753615
"X096h_raw_CH__bf_mask_Intensity_UpperQuartileIntensity",-0.942921901001791,5.53683774372275e-12,2.4350047703293e-09,-0.975330569065769,-0.870723783231499
"X096h_raw_CH_bra_mask_AreaShape_Area",-0.866234070765731,4.49517765983086e-08,1.87448908414947e-05,-0.940860333473453,-0.711440138907898
"X096h_raw_CH_bra_mask_AreaShape_BoundingBoxArea",-0.81144830961422,1.49827441037933e-06,0.000602306312972492,-0.915250852377898,-0.606619863713437
"X096h_raw_CH_bra_mask_AreaShape_Compactness",0.726483193946938,5.82347522883139e-05,0.0224786143832892,0.457021683986977,0.873802523435683
"X096h_raw_CH_bra_mask_AreaShape_ConvexArea",-0.860235939916429,7.07323672868625e-08,2.92832000567611e-05,-0.938097486166059,-0.699618173598375
"X096h_raw_CH_bra_mask_AreaShape_EquivalentDiameter",-0.869924827785668,3.36410233288976e-08,1.40955887748081e-05,-0.942555444270994,-0.718758207926083
"X096h_raw_CH_bra_mask_AreaShape_FormFactor",-0.726820121182054,5.75508918780526e-05,0.0222721951568064,-0.873971224798121,-0.457586259129639
"X096h_raw_CH_bra_mask_AreaShape_MaxFeretDiameter",-0.709999885674055,0.000101741338666316,0.0390686740478654,-0.865505705964564,-0.429663912090041
"X096h_raw_CH_bra_mask_AreaShape_MaximumRadius",-0.886624701348455,8.04444864727886e-09,3.41084622644624e-06,-0.950178982876634,-0.752294906884694
"X096h_raw_CH_bra_mask_AreaShape_MeanRadius",-0.89718236541015,2.88781509736277e-09,1.23020923147654e-06,-0.954959674259573,-0.773862174383909
"X096h_raw_CH_bra_mask_AreaShape_MedianRadius",-0.895356474236972,3.47423125953158e-09,1.47654828530092e-06,-0.954135018933867,-0.770111665022611
"X096h_raw_CH_bra_mask_AreaShape_MinFeretDiameter",-0.871842646947398,2.88369581011103e-08,1.21115224024663e-05,-0.943434796270632,-0.722574149251228
"X096h_raw_CH_bra_mask_AreaShape_MinorAxisLength",-0.876313864792014,1.99391718443237e-08,8.43426969014895e-06,-0.945481020237258,-0.731506129890987
"X096h_raw_CH_bra_mask_AreaShape_Perimeter",-0.825829049137918,6.72366979083031e-07,0.000273653360486794,-0.922055284583895,-0.633461689729025
"X096h_raw_CH_bra_mask_AreaShape_Solidity",-0.748924064799407,2.54950032277943e-05,0.00996854626206758,-0.88496184961889,-0.495105374328425
"X096h_raw_CH_bra_mask_Intensity_IntegratedIntensity",-0.925230446721856,9.92732148785719e-11,4.30845752573002e-08,-0.967516292433697,-0.832582656451803
"X096h_raw_CH_bra_mask_Intensity_IntegratedIntensityEdge",-0.897360618026084,2.8356400561128e-09,1.21081830396017e-06,-0.955040133443165,-0.774228781806553
"X096h_raw_CH_bra_mask_Intensity_LowerQuartileIntensity",-0.915924662391309,3.45175156463377e-10,1.49115667592179e-07,-0.963373260949806,-0.812866779155918
"X096h_raw_CH_bra_mask_Intensity_MADIntensity",-0.862332208592769,6.05143400211943e-08,2.51739654488168e-05,-0.939064192924624,-0.703739824558391
"X096h_raw_CH_bra_mask_Intensity_MaxIntensity",-0.847322285217829,1.75544392246292e-07,7.21487452132261e-05,-0.932115404455186,-0.674461123516557
"X096h_raw_CH_bra_mask_Intensity_MaxIntensityEdge",-0.773936825639183,9.1308675097077e-06,0.00361582353384425,-0.897218665754978,-0.538735153587984
"X096h_raw_CH_bra_mask_Intensity_MeanIntensity",-0.943606919120507,4.86383491787468e-12,2.14495119878273e-09,-0.975631515497817,-0.872218294660921
"X096h_raw_CH_bra_mask_Intensity_MeanIntensityEdge",-0.811833105101389,1.46779234308519e-06,0.00059152031426333,-0.915433697682215,-0.60733205947166
"X096h_raw_CH_bra_mask_Intensity_MedianIntensity",-0.94292452972991,5.5341017507484e-12,2.4350047703293e-09,-0.975331724165304,-0.870729515808166
"X096h_raw_CH_bra_mask_Intensity_StdIntensity",-0.875834429896458,2.07578017802546e-08,8.75979235126746e-06,-0.945261871025457,-0.730545996352189
"X096h_raw_CH_bra_mask_Intensity_StdIntensityEdge",-0.776736001938718,8.07510215037958e-06,0.00321389065585107,-0.898578607679367,-0.543697534486338
"X096h_raw_CH_bra_mask_Intensity_UpperQuartileIntensity",-0.935985900751994,1.89215039958276e-11,8.28761875017249e-09,-0.972276601899734,-0.855666178379769
"X096h_raw_CH_bra_mask_RadialDistribution_FracAtD_2of9",-0.705652600863392,0.000117141273613424,0.044747966520328,-0.863303201823104,-0.422533368181041
"X096h_raw_CH_bra_mask_RadialDistribution_FracAtD_3of9",-0.70599795562535,0.000115847423988484,0.0443695633875894,-0.86347839187573,-0.42309855055597
"X096h_raw_CH_bra_mask_RadialDistribution_FracAtD_4of9",-0.722337993131477,6.72513455696909e-05,0.025891768044331,-0.871724092116482,-0.450093464175754
"X096h_raw_CH_bra_mask_RadialDistribution_FracAtD_5of9",-0.798080806731315,2.97711592635394e-06,0.00119084637054158,-0.908872289173779,-0.582081147796543
"X096h_raw_CH_bra_mask_RadialDistribution_FracAtD_8of9",0.797199728409175,3.10940526139939e-06,0.00124065269929836,0.580477456259521,0.908450037067344
"X096h_raw_CH_bra_mask_RadialDistribution_FracAtD_9of9",0.821576124034966,8.58429021668209e-07,0.000348522182797293,0.625475044994931,0.920049133187174
"X096h_raw_CH_bra_mask_RadialDistribution_MeanFrac_9of9",0.850744709322997,1.3911131672163e-07,5.73138624893114e-05,0.681089472213925,0.93370531681217
"X096h_raw_CH_bra_mask_RadialDistribution_RadialCV_8of9",-0.752289314772621,2.23604349192904e-05,0.0088100113582004,-0.886621945607164,-0.500901789051776
"X096h_raw_CH_bra_mask_RadialDistribution_RadialCV_9of9",-0.774989868771223,8.72016081697223e-06,0.00346190384433798,-0.897730547049135,-0.54060007584654
"somitic1",-0.871949413629773,2.85885888902802e-08,1.2035795922808e-05,-0.943483720993388,-0.722786853706175
