"","r","p","padj","lower","upper"
"X072h_raw_CH__bf_mask_Intensity_IntegratedIntensityEdge",0.72147180647027,6.92830707085237e-05,0.0281982097783691,0.448649862326342,0.871289100282712
"X072h_raw_CH__bf_mask_Intensity_LowerQuartileIntensity",0.800660324452643,2.61809903618865e-06,0.0011074558923078,0.586785928888919,0.910107204900374
"X072h_raw_CH__bf_mask_Intensity_MeanIntensity",0.802483741079078,2.38808490742038e-06,0.00101254800074624,0.590120391995668,0.910978974260043
"X072h_raw_CH__bf_mask_Intensity_MeanIntensityEdge",0.825416865194551,6.88671957235222e-07,0.000298883629440086,0.632685844151241,0.921861078891394
"X072h_raw_CH__bf_mask_Intensity_MedianIntensity",0.798744658277195,2.88077139811467e-06,0.00121280475860627,0.583290565823674,0.909190286543738
"X072h_raw_CH__bf_mask_Intensity_UpperQuartileIntensity",0.7769408227322,8.00227945384483e-06,0.00334495281170714,0.544061281746054,0.898678025279246
"X096h_raw_CH_AreaShape_Bra_AreaFraction",0.720127551222544,7.25428418107792e-05,0.0294523937751764,0.446412318629472,0.870613559876843
"X096h_raw_CH__bf_mask_Intensity_IntegratedIntensity",0.812759968579087,1.39662509737287e-06,0.000600548791870332,0.609048888047491,0.915873944800314
"X096h_raw_CH__bf_mask_Intensity_IntegratedIntensityEdge",0.893716688758821,4.08997429919184e-09,1.8036786659436e-06,0.766750793619195,0.953393656361138
"X096h_raw_CH__bf_mask_Intensity_LowerQuartileIntensity",0.739396819896041,3.65687697371944e-05,0.0150663331317241,0.478816962557972,0.880243180976421
"X096h_raw_CH__bf_mask_Intensity_MaxIntensity",0.76316774895282,1.44233554361403e-05,0.0060145392168705,0.519794703331045,0.891964759631503
"X096h_raw_CH__bf_mask_Intensity_MaxIntensityEdge",0.810717315828643,1.55773762915118e-06,0.000666711705276707,0.605267814423156,0.914903384385088
"X096h_raw_CH__bf_mask_Intensity_MeanIntensity",0.812401397452946,1.42378416676019e-06,0.000610803407540123,0.608384480514105,0.915703657964925
"X096h_raw_CH__bf_mask_Intensity_MeanIntensityEdge",0.882614822512574,1.15649579338988e-08,5.07701653298159e-06,0.744178250975328,0.948355372330062
"X096h_raw_CH__bf_mask_Intensity_MedianIntensity",0.830094102011695,5.22789050860594e-07,0.000227413237124358,0.641512486045477,0.924061977919913
"X096h_raw_CH__bf_mask_Intensity_MinIntensity",0.803006840249716,2.32550595742792e-06,0.000988340031906866,0.591078317365825,0.911228887405689
"X096h_raw_CH__bf_mask_Intensity_MinIntensityEdge",0.806926005846623,1.90117582344559e-06,0.000809900900787821,0.598274357391587,0.913098756277448
"X096h_raw_CH__bf_mask_Intensity_UpperQuartileIntensity",0.81658665660438,1.13423410073967e-06,0.000488854897418799,0.616157328353442,0.917688946022149
"X096h_raw_CH_bra_mask_AreaShape_Area",0.741383123115068,3.39625579711324e-05,0.0140265364420777,0.48219814060832,0.881229263999811
"X096h_raw_CH_bra_mask_AreaShape_ConvexArea",0.729357693816749,5.26229879125969e-05,0.0214701790683395,0.461845351487037,0.8752406633145
"X096h_raw_CH_bra_mask_AreaShape_EquivalentDiameter",0.734114244738409,4.43759260913902e-05,0.0181497537713786,0.469862177717873,0.87761475948134
"X096h_raw_CH_bra_mask_AreaShape_MaximumRadius",0.7348615013333,4.31894669186626e-05,0.0177508709035703,0.471125599670797,0.877987092477306
"X096h_raw_CH_bra_mask_AreaShape_MeanRadius",0.761026620322557,1.57515136603342e-05,0.00652112665537835,0.516057226271205,0.890916005522729
"X096h_raw_CH_bra_mask_AreaShape_MedianRadius",0.761909073878041,1.51915726683521e-05,0.00630450265736612,0.51759647625697,0.891348411223625
"X096h_raw_CH_bra_mask_AreaShape_Solidity",0.709077536157635,0.000104851594773571,0.0423600442885229,0.428148119798413,0.865038909728192
"X096h_raw_CH_bra_mask_Intensity_IntegratedIntensity",0.820481314177161,9.13207033510377e-07,0.000394505438476483,0.623425711282047,0.919531862335923
"X096h_raw_CH_bra_mask_Intensity_IntegratedIntensityEdge",0.810652276457384,1.56312873551615e-06,0.000667455970065394,0.605147574718879,0.914872461319986
"X096h_raw_CH_bra_mask_Intensity_LowerQuartileIntensity",0.844138258990384,2.16873264114557e-07,9.47736164180615e-05,0.668319409778025,0.93063330094685
"X096h_raw_CH_bra_mask_Intensity_MaxIntensity",0.76316774895282,1.44233554361403e-05,0.0060145392168705,0.519794703331045,0.891964759631503
"X096h_raw_CH_bra_mask_Intensity_MaxIntensityEdge",0.799382540614286,2.79081700008457e-06,0.00117772477403569,0.584453573307648,0.909495722846113
"X096h_raw_CH_bra_mask_Intensity_MeanIntensity",0.821528174066785,8.60765359607281e-07,0.000372711400709953,0.625385232547551,0.92002648518714
"X096h_raw_CH_bra_mask_Intensity_MeanIntensityEdge",0.885240827893074,9.13185999623571e-09,4.01801839834371e-06,0.749489103230323,0.949550116909752
"X096h_raw_CH_bra_mask_Intensity_MedianIntensity",0.837694363881185,3.28081933111256e-07,0.000143043722836508,0.655962603487786,0.927625083309039
"X096h_raw_CH_bra_mask_Intensity_StdIntensityEdge",0.781067866697445,6.6536759819305e-06,0.00278789023642888,0.551409319874021,0.90067858194513
"X096h_raw_CH_bra_mask_Intensity_UpperQuartileIntensity",0.798385440176094,2.93255471499804e-06,0.00123167298029918,0.582636016472927,0.909018230314897
"X096h_raw_CH_bra_mask_RadialDistribution_RadialCV_8of9",0.734636597093023,4.35435885455904e-05,0.017852871303692,0.470745229597469,0.877875048423416
"X096h_raw_CH_bra_mask_RadialDistribution_RadialCV_9of9",0.710391240777045,0.000100446251723144,0.0406807319478735,0.430307544122243,0.865703687139674
"neural1",-0.871949413629773,2.85885888902802e-08,1.25218019339427e-05,-0.943483720993388,-0.722786853706175
