,File Name,Skeleton Spine Length [pixels],Treatment,Time
0,2DG_2mM_72h_P1_17_001,1381,2DG_2mM,72h
1,2DG_2mM_72h_P1_18_001,1142,2DG_2mM,72h
2,2DG_2mM_72h_P1_19_001,1401,2DG_2mM,72h
3,2DG_2mM_72h_P1_20_001,775,2DG_2mM,72h
4,2DG_2mM_72h_P1_21_001,1683,2DG_2mM,72h
5,2DG_2mM_72h_P1_22_001,1669,2DG_2mM,72h
6,2DG_2mM_72h_P1_23_001,1288,2DG_2mM,72h
7,2DG_2mM_72h_P1_24_001,1341,2DG_2mM,72h
8,2DG_2mM_72h_P1_25_001,1537,2DG_2mM,72h
9,2DG_2mM_72h_P1_26_001,1015,2DG_2mM,72h
10,2DG_2mM_72h_P1_27_001,982,2DG_2mM,72h
11,2DG_2mM_72h_P1_28_001,800,2DG_2mM,72h
12,2DG_2mM_72h_P1_29_001,1255,2DG_2mM,72h
13,2DG_2mM_72h_P1_30_001,1106,2DG_2mM,72h
14,2DG_2mM_72h_P1_59_001,672,2DG_2mM,72h
15,2DG_2mM_72h_P1_60_001,692,2DG_2mM,72h
16,2DG_2mM_72h_P1_61_001,827,2DG_2mM,72h
17,2DG_2mM_72h_P1_62_001,1324,2DG_2mM,72h
18,2DG_2mM_72h_P1_63_001,751,2DG_2mM,72h
19,2DG_2mM_72h_P1_64_001,1204,2DG_2mM,72h
20,2DG_2mM_72h_P1_65_001,772,2DG_2mM,72h
21,2DG_2mM_72h_P1_66_001,882,2DG_2mM,72h
22,2DG_2mM_72h_P1_67_001,1340,2DG_2mM,72h
23,2DG_2mM_72h_P1_68_001,1627,2DG_2mM,72h
24,2DG_2mM_72h_P1_69_001,1467,2DG_2mM,72h
25,2DG_2mM_72h_P1_70_001,913,2DG_2mM,72h
26,2DG_2mM_72h_P1_71_001,980,2DG_2mM,72h
27,2DG_2mM_72h_P1_72_001,929,2DG_2mM,72h
28,2DG_2mM_72h_P1_73_001,802,2DG_2mM,72h
29,2DG_2mM_72h_P1_74_001,1346,2DG_2mM,72h
30,2DG_2mM_72h_P2_101_001,1054,2DG_2mM,72h
31,2DG_2mM_72h_P2_102_001,918,2DG_2mM,72h
32,2DG_2mM_72h_P2_103_001,1163,2DG_2mM,72h
33,2DG_2mM_72h_P2_104_001,937,2DG_2mM,72h
34,2DG_2mM_72h_P2_105_001,1666,2DG_2mM,72h
35,2DG_2mM_72h_P2_106_001,1419,2DG_2mM,72h
36,2DG_2mM_72h_P2_107_001,1260,2DG_2mM,72h
37,2DG_2mM_72h_P2_108_001,885,2DG_2mM,72h
38,2DG_2mM_72h_P2_109_001,865,2DG_2mM,72h
39,2DG_2mM_72h_P2_110_001,960,2DG_2mM,72h
40,2DG_2mM_72h_P2_111_001,844,2DG_2mM,72h
41,2DG_2mM_72h_P2_112_001,1079,2DG_2mM,72h
42,2DG_2mM_72h_P2_113_001,1986,2DG_2mM,72h
43,2DG_2mM_72h_P2_114_001,1289,2DG_2mM,72h
44,2DG_2mM_72h_P2_115_001,980,2DG_2mM,72h
45,2DG_2mM_72h_P2_116_001,880,2DG_2mM,72h
46,2DG_2mM_72h_P2_147_001,1007,2DG_2mM,72h
47,2DG_2mM_72h_P2_148_001,1001,2DG_2mM,72h
48,2DG_2mM_72h_P2_149_001,1035,2DG_2mM,72h
49,2DG_2mM_72h_P2_150_001,1587,2DG_2mM,72h
50,2DG_2mM_72h_P2_151_001,1558,2DG_2mM,72h
51,2DG_2mM_72h_P2_152_001,1431,2DG_2mM,72h
52,2DG_2mM_72h_P2_153_001,1435,2DG_2mM,72h
