,File Name,Skeleton Spine Length [pixels],Time,Treatment
0,72h_10nM_R_P1_14_01,822,72h,ROT_10_nM
1,72h_10nM_R_P1_15_01,862,72h,ROT_10_nM
2,72h_10nM_R_P1_16_01,1460,72h,ROT_10_nM
3,72h_10nM_R_P1_17_01,1460,72h,ROT_10_nM
4,72h_10nM_R_P1_18_01,1487,72h,ROT_10_nM
5,72h_10nM_R_P1_19_01,1369,72h,ROT_10_nM
6,72h_10nM_R_P1_20_01,1149,72h,ROT_10_nM
7,72h_10nM_R_P1_21_01,802,72h,ROT_10_nM
8,72h_10nM_R_P1_22_01,1619,72h,ROT_10_nM
9,72h_10nM_R_P1_23_01,984,72h,ROT_10_nM
10,72h_10nM_R_P1_24_01,1838,72h,ROT_10_nM
11,72h_10nM_R_P1_25_01,1395,72h,ROT_10_nM
12,72h_10nM_R_P1_26_01,1352,72h,ROT_10_nM
13,72h_10nM_R_P1_27_01,1023,72h,ROT_10_nM
14,72h_10nM_R_P1_28_01,1506,72h,ROT_10_nM
15,72h_10nM_R_P1_54_01,1290,72h,ROT_10_nM
16,72h_10nM_R_P1_55_01,1156,72h,ROT_10_nM
17,72h_10nM_R_P1_56_01,1318,72h,ROT_10_nM
18,72h_10nM_R_P1_57_01,1596,72h,ROT_10_nM
19,72h_10nM_R_P1_58_01,1718,72h,ROT_10_nM
20,72h_10nM_R_P1_59_01,1344,72h,ROT_10_nM
21,72h_10nM_R_P1_60_01,1374,72h,ROT_10_nM
22,72h_10nM_R_P1_61_01,1792,72h,ROT_10_nM
23,72h_10nM_R_P1_62_01,892,72h,ROT_10_nM
24,72h_10nM_R_P1_63_01,1595,72h,ROT_10_nM
25,72h_10nM_R_P1_64_01,1357,72h,ROT_10_nM
26,72h_10nM_R_P1_65_01,1613,72h,ROT_10_nM
27,72h_10nM_R_P1_66_01,1671,72h,ROT_10_nM
28,72h_10nM_R_P1_67_01,1463,72h,ROT_10_nM
29,72h_10nM_R_P1_68_01,1853,72h,ROT_10_nM
30,72h_10nM_R_P2_87_01,485,72h,ROT_10_nM
31,72h_10nM_R_P2_88_01,1222,72h,ROT_10_nM
32,72h_10nM_R_P2_89_01,1031,72h,ROT_10_nM
33,72h_10nM_R_P2_90_01,1952,72h,ROT_10_nM
34,72h_10nM_R_P2_91_01,2099,72h,ROT_10_nM
35,72h_10nM_R_P2_92_01,1023,72h,ROT_10_nM
36,72h_10nM_R_P2_93_01,1418,72h,ROT_10_nM
37,72h_10nM_R_P2_94_01,1111,72h,ROT_10_nM
38,72h_10nM_R_P2_95_01,1126,72h,ROT_10_nM
39,72h_10nM_R_P2_96_01,1219,72h,ROT_10_nM
40,72h_10nM_R_P2_97_01,827,72h,ROT_10_nM
41,72h_10nM_R_P2_98_01,1378,72h,ROT_10_nM
42,72h_10nM_R_P2_99_01,1675,72h,ROT_10_nM
43,72h_10nM_R_P2_127_01,1243,72h,ROT_10_nM
44,72h_10nM_R_P2_128_01,1294,72h,ROT_10_nM
45,72h_10nM_R_P2_129_01,1219,72h,ROT_10_nM
46,72h_10nM_R_P2_130_01,1784,72h,ROT_10_nM
47,72h_10nM_R_P2_131_01,615,72h,ROT_10_nM
48,72h_10nM_R_P2_132_01,1081,72h,ROT_10_nM
49,72h_10nM_R_P2_133_01,970,72h,ROT_10_nM
50,72h_10nM_R_P2_134_01,1047,72h,ROT_10_nM
51,72h_10nM_R_P2_135_01,1465,72h,ROT_10_nM
52,72h_10nM_R_P2_136_01,1871,72h,ROT_10_nM
53,72h_10nM_R_P2_137_01,1659,72h,ROT_10_nM
54,72h_10nM_R_P2_138_01,1370,72h,ROT_10_nM
55,72h_10nM_R_P2_139_01,1429,72h,ROT_10_nM
56,72h_10nM_R_P2_140_01,1116,72h,ROT_10_nM
57,72h_10nM_R_P2_141_01,712,72h,ROT_10_nM
58,72h_20nM_R_P1_15_01,1760,72h,ROT_20_nM
59,72h_20nM_R_P1_16_01,1528,72h,ROT_20_nM
60,72h_20nM_R_P1_17_01,1047,72h,ROT_20_nM
61,72h_20nM_R_P1_18_01,644,72h,ROT_20_nM
62,72h_20nM_R_P1_19_01,1405,72h,ROT_20_nM
63,72h_20nM_R_P1_20_01,1126,72h,ROT_20_nM
64,72h_20nM_R_P1_21_01,1175,72h,ROT_20_nM
65,72h_20nM_R_P1_22_01,1780,72h,ROT_20_nM
66,72h_20nM_R_P1_23_01,1476,72h,ROT_20_nM
67,72h_20nM_R_P1_24_01,1012,72h,ROT_20_nM
68,72h_20nM_R_P1_25_01,743,72h,ROT_20_nM
69,72h_20nM_R_P1_26_01,3104,72h,ROT_20_nM
70,72h_20nM_R_P1_51_01,1509,72h,ROT_20_nM
71,72h_20nM_R_P1_52_01,1036,72h,ROT_20_nM
72,72h_20nM_R_P1_53_01,811,72h,ROT_20_nM
73,72h_20nM_R_P1_54_01,571,72h,ROT_20_nM
74,72h_20nM_R_P1_55_01,682,72h,ROT_20_nM
75,72h_20nM_R_P1_56_01,826,72h,ROT_20_nM
76,72h_20nM_R_P1_57_01,949,72h,ROT_20_nM
77,72h_20nM_R_P1_58_01,893,72h,ROT_20_nM
78,72h_20nM_R_P1_59_01,1731,72h,ROT_20_nM
79,72h_20nM_R_P1_60_01,1128,72h,ROT_20_nM
80,72h_20nM_R_P1_61_01,1488,72h,ROT_20_nM
81,72h_20nM_R_P1_62_01,799,72h,ROT_20_nM
82,72h_20nM_R_P1_63_01,1442,72h,ROT_20_nM
83,72h_20nM_R_P2_85_01,863,72h,ROT_20_nM
84,72h_20nM_R_P2_86_01,1686,72h,ROT_20_nM
85,72h_20nM_R_P2_87_01,850,72h,ROT_20_nM
86,72h_20nM_R_P2_88_01,1856,72h,ROT_20_nM
87,72h_20nM_R_P2_89_01,1163,72h,ROT_20_nM
88,72h_20nM_R_P2_90_01,1622,72h,ROT_20_nM
89,72h_20nM_R_P2_91_01,970,72h,ROT_20_nM
90,72h_20nM_R_P2_92_01,1402,72h,ROT_20_nM
91,72h_20nM_R_P2_93_01,1535,72h,ROT_20_nM
92,72h_20nM_R_P2_94_01,1626,72h,ROT_20_nM
93,72h_20nM_R_P2_95_01,1413,72h,ROT_20_nM
94,72h_20nM_R_P2_96_01,321,72h,ROT_20_nM
95,72h_20nM_R_P2_123_01,1797,72h,ROT_20_nM
96,72h_20nM_R_P2_124_01,2920,72h,ROT_20_nM
97,72h_20nM_R_P2_125_01,1515,72h,ROT_20_nM
98,72h_20nM_R_P2_126_01,1379,72h,ROT_20_nM
99,72h_20nM_R_P2_127_01,1525,72h,ROT_20_nM
100,72h_20nM_R_P2_128_01,1588,72h,ROT_20_nM
101,72h_20nM_R_P2_129_01,1339,72h,ROT_20_nM
102,72h_20nM_R_P2_130_01,1175,72h,ROT_20_nM
103,72h_20nM_R_P2_131_01,1787,72h,ROT_20_nM
104,96h_10nM_R_P1_29_01,736,96h,ROT_10_nM
105,96h_10nM_R_P1_30_01,904,96h,ROT_10_nM
106,96h_10nM_R_P1_31_01,1616,96h,ROT_10_nM
107,96h_10nM_R_P1_32_01,971,96h,ROT_10_nM
108,96h_10nM_R_P1_33_01,1632,96h,ROT_10_nM
109,96h_10nM_R_P1_34_01,1731,96h,ROT_10_nM
110,96h_10nM_R_P1_35_01,899,96h,ROT_10_nM
111,96h_10nM_R_P1_36_01,1711,96h,ROT_10_nM
112,96h_10nM_R_P1_37_01,913,96h,ROT_10_nM
